sentence,B2
Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,0
J'aime le ski.,0
"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",1
Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,0
Elle est née quel jour ?,0
Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,0
"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",1
Pile au moment où on a le plus besoin de réconfort,0
Je viens d'emménager dans ma nouvelle maison.,0
"Et cette année, ça défile !",0
"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",0
"Et toi, qu'est-ce que tu vas faire ?",0
"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",0
Comment t'appelles-tu ?,0
"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",1
Vous ferez de la randonnée ?,0
il y a plus de 50 pays francophones !,0
Ils ont déjà l'obligation de les ramener chez eux.,0
"Un autre : Oui, on leur a bien donné des noms",0
Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,1
"Merci, bon voyage.",0
Elle peut donc ouvrir d'autres réflexions et finalement devenir très enrichissante.,1
"Ce paysan pleurait et prétendait qu'on lui avait tout pris ; Fabrice lui donna un écu, et il trouva de l'avoine.",1
Le petit chat a plu à mes parents,0
"[.] Nous sommes des joueurs/joués3"".",1
"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",0
Vous avez dit la seule chose intelligente !,0
Mon ami ne répond pas au téléphone.,0
Mon frère Patrice est plus jeune que moi,0
"Ils sont en vacances, il n'y a que nous sur cette partie de l'île.",0
"Quand il y a des nuages avec de la neige qui tombe, c'est qu'il va neiger et qu'il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",0
"Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d'emploi grâce à notre système d'alerte personnalisé.",1
"Ça nous a donc coûté de l'argent, s'énerve-t-elle.",0
Vous vous appelez comment ?,0
"Fabrice, à peine âgé de seize ans, représentait fort bien le chef de la maison.",1
"Oui, je suis à Paris depuis vingt jours à peine.",0
Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?,0
"Quand je rentre, je demande à mes parents si je peux t'appeler pour avoir de tes nouvelles.",0
"L'important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c'est que chacun des créditeurs, des créanciers soit traité de la même façon.",1
Le directeur aurait donné de nouvelles consignes au personnel.,1
"Les conséquences sur la nature sont gravissimes, notamment sur les océans qui contiendraient selon la revue américaine Science plus de 110 millions de tonnes de déchets plastiques.",1
"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte. ""Il y a toujours un événement déclencheur"", constate la directrice de Changer tout.",1
Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,0
Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l'avaient acheté.,1
Il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes.,1
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête",0
Que du bonheur !,0
On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,1
"Tous, sauf un petit oiseau.",0
Sa santé s'est dégradée à cause d'une infection sévère et ses jours sont comptés.,1
La chose me vient d'être certifiée.,0
La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,0
J'ai le plaisir de vous annoncer que votre demande d'inscription à l'université de Strasbourg en première année de master Sciences et Société a été acceptée,0
"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",1
"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",0
"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",1
"Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",0
Elle ne ressemble à aucune des filles que je connais.,0
"Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !",1
Pourquoi on ne peut pas entrer dans la chambre ?,0
À très bientôt.,0
Soyons sérieux,1
Je prends le train.,0
Je prends mon petit-déjeuner dans la cuisine.,0
Il nous arrive de procéder de cette façon de temps en temps.,0
Je suis dans ma chambre.,0
Le jour de l'An correspond au 1 janvier.,0
Je ne comprends pas.,0
Je préfère un autre bijou.,0
Il n'a pas de veste,0
Un autre inconvénient à cette interdiction est le risque de priver les adolescents d'un apprentissage sur l'utilisation raisonnée d'Internet et des réseaux sociaux.,1
Le massacre est commémoré sur le drapeau de la ville de Chicago par sa première étoile rouge,0
Je ne trouve pas la rue du marché.,0
"Cette année, ce n'est pas moins de 12 millions d'élèves qui ont repris le chemin de l'école.",0
Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.,1
Je ne trouve pas mes clés de maison.,0
"Les industriels polluent l'eau, l'air et les sols avec leurs produits toxiques.",1
Il met son plus beau costume et son chapeau,0
"D'abord, la dernière élection présidentielle, où le vote pour le Front national fut autant le fait des jeunes électeurs que de leurs aînés.",1
Les parents de banlieue se sont organisés pour les devoirs des enfants.,0
"Le duo n'a pas grand chose en commun, mis à part ses positions relativement conservatrices, qui lui vaut les foudres des progressistes.",1
"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.",1
A qui appartient le chien qui aboie nuit et jour ?,0
Elle sait parler anglais et espagnol,0
"Ce phénomène, c'est l'apparition d'une génération inédite.",1
"Après l'ambiance de luxe, ici c'est comme un tranquille village",0
Elle pense à lui.,0
"Oui, l'ouragan a touché terre la nuit dernière dans le nord du Nicaragua, il s'est ensuite étendu à plusieurs pays d'Amérique centrale",0
Je viens d'emménager dans ma nouvelle maison,0
"De toute façon, chacun sait que, pour choisir son logement idéal, cela peut prendre plusieurs mois.",0
"Parmi les habitants de la région, il y a ceux qui veulent revenir et ceux qui ne veulent pas",0
"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",0
"Dans les campagnes, c'est différent !",0
Faites des groupes de trois personnes.,0
Le Président a promis qu'il tiendrait toutes ses promesses.,0
Qu'allez-vous faire demain ?,0
Où se trouve le supermarché?,0
"Il donna cette feuille à l'alouette, et lui ordonna de la laisser tomber sur la tête du dragon.",0
Je vous conseille d'écouter deux fois cette histoire avant de passer à la suite.,0
Je ne veux plus le voir parce qu'on s'est disputés la dernière fois que l'on s'est vus.,0
"En France, si je parle anglais à mon fils, Mathias, il me répond plutôt en français.",0
Nous les mangeons ensemble le samedi soir.,0
Les sexagénaires sont jeunes.,1
"Et le vieux chef a toujours raison, car c'est le seul qui parle aux dieux.",0
J'ai cherché à te joindre il y a une heure.,0
Cela nécessite des équipements et suffisamment de place.,1
J'ai soif.,0
Léonard de Vinci a eu beaucoup d'amis qui sont reconnus dans leurs domaines respectifs ou ont eu une influence importante sur l'Histoire.,1
Vous avez une réduction ?,0
"Je n'aime pas la pluie, surtout pendant les vacances.",0
Je serai ravi de t'accueillir.,0
Le petit chat plaît à mes parents.,0
Twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins.,1
"C'est, de manière plus générale et de façon indiscutable, le meilleur joueur du monde.",0
Ils sont pas chers,0
"Je sais qu'elle vit seule avec son père, mais je ne lui ai jamais demandé pourquoi.",0
La communauté scientifique apprécie peu la présence de femmes.,1
Les anciennes générations sont beaucoup plus conservatrices que les jeunes générations.,1
Etes-vous à la maison ?,0
Quand les rencontrer?,0
Un message d'urgence des pompiers vient de tomber :,0
J'étais donc lycéen et pompier à la fois.,0
Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,1
Je ne crois pas que les enfants vont réussir.,0
C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,0
"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",0
"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",0
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",0
Je suis vraiment plus dans le flow,0
L'élastique s'est distendu.,0
Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,1
"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",0
Alice a un chien.,0
Elle n'était pas là.,0
Des réponses aux questions que l'on se pose sur soi et sur les autres.,0
L'ensemble des jeunes ?,0
"Il avait pris sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu'il voyait beaucoup avant de vivre à Valencienne",0
La ville entière s'est illuminée autour du marché de Noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le froid de l'hiver,1
"Si vous êtes intéressé, appelez-moi.",0
Mon père a eu une mutation pour venir travailler à Paris.,0
"On peut aussi aller au théâtre, dans les musées ou au cinéma",0
"Je suis encore au bureau, je vais rentrer plus tard.",0
On va manger dans le jardin.,0
"Il aurait vidé de même une barrique entière, lui semblait-il ; il aurait mangé un boeuf, étranglé un lion.",1
"Une feuille prise d'un arbre du paradis, sur laquelle est écrite un mot en lettres d'or par le Père éternel.",0
"Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.",0
Les réseaux sociaux sont l'objet d'un étonnant paradoxe.,1
Vous avez bien étudié et vous avez réussi facilement.,0
Le journal n'a pas expliqué comment ce prisonnier s'est évadé.,0
"Il ne la connaît pas bien, alors il demande à ses autres collègues",0
L'anecdote est révélatrice.,1
"C'est l'année où les centaines de milliers de baby-boomers, nés lors du pic des naissances de 1946, arriveront à la retraite.",1
"Pour y aller, descendez à la station musée du Louvre, prenez à droite et continuez tout droit",0
"Par ailleurs, 42 % des adolescents déclarent qu'ils seraient ""dévastés"" s'ils devaient quitter leur foyer plusieurs jours sans leur téléphone.",1
"Et toi, tu es toujours cuisinier ?",0
"En les mélangeant, on peut former d'autres couleurs. Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",0
"Enfin, selon le Haut conseil en santé publique, les ""lieux diffusant de la musique amplifiée"" ne doivent pas dépasser le niveau moyen de 105 dB durant quinze minutes, ce qui est rarement respecté.",1
Elle a un physique ingrat.,0
Le grand Meaulnes jeta son chapeau par terre et je vis qu'il avait les cheveux complètement ras comme un paysan.,1
Aucun filet ne saura empêcher les algues de l'Atlantique de voguer et de tirer leur saveur des eaux qu'elles traversent.,1
"Il est vrai que Pierre a moins de livres que ses amis, mais les siens sont meilleurs.",0
Vous êtes une des copines de Zoé.,0
Elle travaille dans le domaine de l'informatique aussi ?,0
"On peut montrer le nouveau père en exemple à destination d'autres pères moins impliqués, mais sans en faire ni un objet de curiosité ni un héros absolu auquel il faudrait dresser une statue.",1
Les normes européennes sont absurdes et nous étouffent.,1
M. Cruchon vient de donner une réponse à notre question.,0
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,0
Elle ne travaille plus ici depuis quinze jours.,0
Ne cherchons donc point d'assurance et de fermeté.,1
Les jeunes sont moins soumis aux impératifs moraux qu'à ceux du succès.,1
Jean a une copine.,0
"Au delà du désagrément esthétique, ces déchets menacent la moitié des oiseaux marins et au moins 200 espèces de poissons, crustacées et mammifères vivant dans les océans parce qu'ils confondent ces déchets avec de la nourriture.",1
"Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs",0
"Pour Catherine Down, c'est un soulagement de ne pas avoir à traverser cette épreuve toute seule, même si l'idée de partager son petit studio l'a d'abord angoissée.",0
Les enfant n'avaient pas envie de travailler leurs devoirs après l'école.,0
Nous vous remercions de voyager sur la compagnie France Air.,0
"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a supplanté le calcul mental y compris pour des opérations basiques, et que l'utilisation d'un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont été mémorisées en amont et c'est grâce à cette assimilation de connaissances basiques que l'apprenant peut utiliser la calculatrice .",1
"""Je vous laisserai sortir seulement à condition que vous juriez solennellement que vous ne révélerez à personne où vous avez dormi, ni comment vous êtes entré dans la grotte aux serpents !"" dit le roi.",0
Le bord du lac est vraiment magnifique et je fais beaucoup de sport.,0
Il joue de la guitare dans un bar.,0
"A l'intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",0
Il nous a indiqué qu'il avait fini son film hier et qu'il allait en commercer un nouveau dans deux semaines.,0
"Même si la Révolution française était déjà en cours, la prise symbolique de la Juillet forteresse, qui ne comptait que 7 prisonniers à l'époque, reste l'événement clé de la révolte",1
"Pendant des semaines, la Maison Blanche avait courtisé une poignée de sénateurs républicains et démocrates modérés qui détiennent aujourd'hui le pouvoir de bloquer, ou de sauver, ses grands projets.",1
Est-ce que tu veux que je regarde avec toi ?,0
"Tous les mardis, il va à l'entraînement de football.",0
Les vacances approchent et j'aimerais bien te voir !,0
Encore une fois.,0
"Pour aller dans ma chambre, je dois monter un escalier",0
"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour de remerciement et d'action de grâce pour remercier Dieu de leur avoir donné une terre finalement si accueillante avec des indigènes si serviables",1
"Le lendemain, l'assistante m'a téléphoné pour savoir si j'étais disponible lundi.",0
Comment j'ai survécu à une perverse narcissique,1
Elle cherche un travail de réceptionniste dans un hôtel,0
"Après, je vais dans la cuisine et je bois mon café",0
"Je ne vais pas aller avec eux, puisqu'ils sont déjà partis !",0
"L'immense majorité des déchets professionnels sont mêlés aux gravats ou aux emballages, et enterrés dans le sol faute d'être isolés en vue de leur traitement , affirme-t-il.",1
Il y a même des restaurants,0
Serveur : y a-t-il un problème avec votre table ?,0
"Une exception, dans un paysage audiovisuel où il y a beaucoup de règles.",0
Le raisonnement mathématique est plus proche de la logique masculine.,1
Mais le chien n'est pas le seul à apprendre !,0
Le chien a besoin de rencontrer d'autres animaux.,0
Il paraît qu'on mange bien : l'une des spécialités de l'île est le fromage de chèvre.,0
Mon mari est éditeur.,0
"Oui, il y a une grande armoire.",0
"Lorsqu'il y a des mouvements sociaux en France, la présence des jeunes, étudiants et lycéens, est souvent déterminante.",1
Les choses sont en train de mal tourner.,0
"La parade descend l'avenue Champs-Élysées, de la place de l'Étoile, alias place Charles-de-Gaulle, jusqu'à la place de la Concorde",1
Je dois beaucoup travailler mais ça me plaît,0
"Finies les façades grises et ternes, terminée la morosité ambiante",1
Mais je ne suis pas tout à fait certain de réussir.,0
Moi je suis pas vraiment d'accord avec ce que dit Monsieur.,0
"Morin : ""Notre mode de connaissance parcellisée prédit des ignorances globales.",1
Elles cachent une partie de leur douleur,1
"Fini les pâtes à l'italienne, les gros haricots blancs, les pommes de terre en robe des champs avec du beurre et du bon pain frais.",1
"Il aime beaucoup lire, surtout le soir avant de dormir",0
"Et toi, ça va ?",0
Un rocher est une grande masse de pierre dure qui est enracinée dans la terre.,0
"Je ne mange pas viande, je suis végétarienne.",0
Je suis professeur.,0
Il ne faut pas toujours aller les demander à la société.,0
C'est parce qu'il n'aimait pas les plats de la cantine.,0
Le journaliste lui a posé des questions auxquelles il a répondu sans hésitations.,1
"Le 8 juillet, j'ai supprimé l'eau et le lait.",0
"Ces derniers, par exemple, privilégient l'achat patriotique pour sa faible empreinte carbone",1
"Il n'y a là rien d'impossible, estime un député, 75 % des déplacements domicile-travail font aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture.",1
Je travaille dans un hopital.,0
Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville,0
"Enfin, elle s'est occupée du nouveau stagiaire et elle lui a expliqué le fonctionnement de l'entreprise ainsi que le règlement intérieur",0
"Et surtout, essayez de limiter les paires de chaussures",1
Huit photons au moins sont nécessaires pour permettre la réduction d'une molécule de dioxyde de carbone par l'eau.,1
Il est considéré comme un membre de la famille à part entière.,0
"Oui, j'ai ouvert un restaurant à Lyon depuis six mois dans le centre ville.",0
"Aujourd'hui, je vais te présenter ma famille.",0
"Trop souvent le tourisme est une cause de dégradation de l'environnement ou de désorganisation d'une société traditionnelle alors que le voyageur doit être à l'écoute, tolérant et s'adapter à la vie locale.",0
"Je vous ai dit, c'est une fille bizarre.",0
"J'habite à New York, et toi ?",0
L'accès par voie électronique de l'ensemble des formalités au registre du commerce et des sociétés.,1
"Il rampait à plat ventre, galopait à quatre pattes, prenait son panier aux dents, se tordait, glissait, ondulait, serpentait d'un mort à l'autre, et vidait la giberne ou a cartouchière comme un singe ouvre une voix.",1
"Après tout, la façon dont ont s'habille fait partie de sa personnalité, non?",0
Ce sont des vacances très relaxantes,0
C'était sa grande différence entre lui et moi.,0
Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.,0
j'aime beaucoup faire du parapente.,0
Moi je pense que l'école ne peut pas tout faire.,0
"Quand ils se verront, elle pleurera et elle s'évanouira ; l'émotion sera trop grande.",0
Vraiment?,0
Viens ici!,0
Il annonce qu'il va faire appel.,0
J'ai perdu mes feuilles !,0
"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",0
"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",0
"Ce précieux instrument, d'origine américaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes à une distance moyenne de seize kilomètres.",1
Tu es ridicule.,0
"Choisir un logement n'est pas évident: certains achètent un appartement en ville, d'autres préfèrent une maison à la campagne.",0
"Ce qui change vraiment, c'est la façon de favoriser l'accès à la connaissance.",0
"Leurs branches étaient complètement nues, tandis que toutes leurs feuilles étaient tombées par terre.",1
"Non, je ne le trouve pas !",0
Ils ont beaucoup d'idées,0
C'est comme ça tous les jours.,0
"Une langue qui n'est pas employée sur Internet ""n'existe plus"" dans le monde moderne.",0
"Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer",0
"Je veux trouver un cadeau d'anniversaire pour ma copine, donc je vais aller au centre commercial",0
Le ciel était noir.,0
J'aimerais que tu fermes la fenêtre avant de partir.,0
"Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste.",1
"A gauche, c'est ma salle de bain, avec vue sur mon jardin. Je me sens très bien dans ma nouvelle maison !",0
Il travaille à Rome,0
Pourquoi on ne peut pas jouer avec Jules et Alice ?,0
Alexandre aimait réviser à l'université pour flirter avec des filles de la faculté de droit,0
"Du moment qu'on a une démocratie, on doit écouter le peuple.",0
"En revanche, le sapin n'avait pas perdu une seule aiguille.",0
"Elle n'aime pas les reproches, elle est susceptible.",0
Il y a des régions où les enfants ne vont pas à l'école le mercredi.,0
Il est midi et quize minutes.,0
Il a participé à la construction du canal ?,0
J'adore la cuisine ici,0
J'ai posé le courrier sur la table.,0
"En plus, comme il faisait très beau on mangeait toujours dans le jardin avec des amis ou des voisins, j'ai beaucoup parlé, tu sais !",0
Mais la société a évolué et si l'école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.,0
D'où tu viens?,0
Je n'aime pas cette photo.,0
"Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins",0
Je crois que c'est surtout pour me faire plaisir.,0
Ces chiffres sont susceptibles de varier au cours de cette année.,1
"La fenêtre s'est refermée sur ma main, ça fait mal.",0
Le restaurant n'est pas loin du musée du Louvre,0
"Liberté privée, ordre public: telle est l'équation fétiche des Français.",1
Il veut aller à la montagne,0
Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux,0
Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.,0
Je m'appelle Jessica,0
Je vous remercie et je vous souhaite une très bonne journée.,0
Tu dois te couper les ongles.,0
"Avec la distanciation sociale, les occasions de se réunir ont également été moins fréquentes.",1
"Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.",0
"Cet emballage innovant, allié au développement des lignes de chemin de fer, permit la distribution du camembert dans d'autres régions de France, mais aussi à l'étranger.",1
Il regarde la télévision.,0
Le démon voulait trouver une cachette pour ne pas revoir la méchante femme.,0
Dénoncer une discrimination collectivement acceptée est difficile.,1
je suis déjà en train de sortir du lit.,0
Les églises sont animées,1
Mais cette révolution ne se manifeste pas seulement dans notre vie quotidienne.,0
"Il a une longue expérience dans un grand nombre de restaurants, mais moins en restauration collective.",0
"C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo.",0
Qu'est-ce que tu regardes ?,0
C'est pour moi une grande déception de ne pas pouvoir vous accueillir à Zurich,0
"Au Nord la forêt, au Sud de hautes montagnes les séparaient presque entièrement du reste du monde.",1
Il n'y a pas beaucoup de voitures donc il n'y a pas d'embouteillage,0
"Ce soir, il perd de sa puissance",0
Il y a un nouveau film avec son acteur préféré,0
Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit,0
"J'ai pas peur de dire ""non"" après c'est vraiment une question de feeling",0
Il hochait la tête doucement tout en regardant mon avion.,0
"700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu'à 25 % des déchets incinérés dans certaines communes.",1
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants",0
"Bonjour. Puis-je avoir votre passeport et votre billet, s'il-vous-plaît ?",0
"C'est pourquoi, dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit.",1
"Et puis surtout, j'attendais ton arrivée",0
Les ressources disponibles en ligne peuvent faciliter l'apprentissage des lycéens.,1
Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,0
"Pour les habitants des quartiers historiques, la vie n'est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier.",0
Il est très satisfait de votre travail.,0
Virginie adore les vacances à la mer,0
"J'ai déjà pris l'avion car nous sommes allés à Rome en Italie, il y a deux ans",0
Une deuxième balle fit étinceler le pavé à côté de lui.,1
"Si l'épicerie de quartier avait été ouverte en ce jour congé, comme indiqué sur le panneau informatif nous aurions acheté du lait et du sirop d'érable pour préparer du pain perdu aux enfants.",1
Elle a 20 ans,0
Une étude montre que ce vaccin offre un taux de protection élevé qui permet d'éviter l'hospitalisation.,1
"Elle prendra un pseudonyme masculin pour poursuivre ses travaux qui, revisités il y a peu, ont montré qu'elle avait imaginé les prémisses des travaux de Poincaré.",1
"Désolé pour le retard, nous sommes très occupés ce soir.",0
Je suis allée voir un film d'humour en plein air avec mon petit copain.,0
Celle‐ci est idéalement réduite dans la mesure du possible à travers la définition de critères de classification clairs et par la triangulation des points de vue des experts du domaine.,1
Je ne suis jamais content.,0
Très bonne journée à toi !,0
Il doit se dépêcher pour ne pas être en retard à l'école.,0
"Si j'appuie là, c'est douleureux.",0
"Je dirais qu'Andy Warhol est l'artiste le plus complexe, multi-facettes et révolutionnaire de ces soixante dernières années.",1
"Ils ont quitté en urgence leur maison, à l'approche des flammes et ont décidé de dormir dans leur voiture très équipée",0
Elle était heureuse,0
Il achète des légumes et des fruits.,0
Nous sommes en retard.,0
"Il existera bien sûr des moyens détournés de tricher, mais l'accent sera mis sur la dissuasion, à la manière des contrôles antidopage, l'autre condition étant évidemment d'imaginer des sujets qui ne se prêtent pas au copier-coller.",1
Cela nécessite des équipements et suffsamment de place.,1
"Vers dix heures, je monte dans ma chambre.",0
Parce que jamais je céderai devant la barbarie.,0
"J'habite au Niger, et vous ?",0
Les profils retenus seront rappelés pour participer aux entretiens et aux quarante-deux heures de concours.,1
"Paul Andreu, l'architecte de l'aéroport de Roissy (du terminal 1 au terminal 2E-K) ainsi que de l'Opéra de Pékin entre autres, s'était demandé s'il devait installer des portes automatiques dans un aéroport qu'il était en train de concevoir comme le requérait tout aéroport digne de ce nom car, après un rapide calcul à partir des conditions locales, le coût d'achat et surtout de maintenance d'une porte automatique revenait plus cher que le salaire d'un portier qui pouvait nourrir une famille avec.",1
Tu as passé une bonne journée.,0
La vie en France est très différente de celle au Canada.,0
C'est bientôt l'anniversaire de Julie.,0
Tu parles bien anglais.,0
Bonjour à tous !,0
M. Aphatie a été le premier à animer une émission dite sérieuse à la radio puis à la télévision.,0
"Mais ils sont arrivés en plein hiver, au mois de décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",1
Ça faisait longtemps que je ne m'étais pas fait plaisir.,0
Nous allons à Paris pour prendre un train.,0
Notre héros croyait tous les Français profondément émus comme lui de l'extrême danger que courait la patrie.,1
C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.,0
J'aime les panoramas.,0
"Si nous savions conduire l'automobile à boite automatique, nous pourrions l'emprunter le samedi soir pour nous rendre à l'observatoire.",1
Je suis tout à fait d'accord avec la jeune fille.,0
