id,sentence,difficulty,augmented_sentence
3729,Le cabotin diplomate avait même soin de faire toujours glisser dans les réclames une phrase poétique sur la fascination de sa personne et la sensibilité de son âme.,C2,"['Le cabotin diplomatique avait même', 'soin de toujours glisser d', 'Ans revendique une phrase de poème', 'sur la fascination de son pe', 'rsonne et la sensibilité du son', 'âme.']"
805,Il fait beau dehors.,A1,"[""C'est magnifique dehors.""]"
4260,"Elle a remis des dossiers au chef du personnel, elle a rempli des formulaires et elle a rédigé plusieurs commentaires sur son rapport hebdomadaire",B1,"['Elle a remis des dossiers à Che.', 'f personnel, elle a rempli', 's formes et il a écrit', 'lecteurs commentaires sur son ra', 'hebdomadaire']"
3285,"Les démocrates disposent d'une très courte majorité à la chambre haute, avec 50 sénateurs contre 50 républicains.",B2,"['Les démocrates ont', 'ir courte majorité dans la salle', 'haut, avec 50 sénateurs contre', '50 républicains.']"
828,"""Me voilà."" Quand la femme vit le berger, elle cessa de pleurer, et dit: ""Eh bien, où avez-vous été tout l'hiver ?""",B1,"['""Me voilà."" Quand la femme vit', 'Elle a arrêté de pleurer,', 'et a dit, ""Eh bien, où avez-vous', 'l\'été tout l\'hiver?""']"
4720,C'est une question que se posent avec insistance les autorités politiques et sanitaires ces dernières semaines.,B2,"[""C'est une question."", 'De manière insistante, les autorités', ""conditions d'hygiène et d'hygiène"", 'semaines.']"
4250,"Les enfants travaillent bien à l'école, même si ma fille a quelques difficultés en mathématiques",B1,"['Les enfants travaillent bien sur le lieu de travail.', ""'école, même si ma fille a ce"", 'difficultés en mathématiques']"
2899,"Les occasions d'opposition, dues aux différences de culture, sont plus nombreuses.",C2,"[""Possibilités d'opposition, en raison"", 'différences de culture, de son', 't plus nombreux.']"
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,"[""Je ne t'ai pas appelé parce que q"", ""J'ai trop travaillé.""]"
586,Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,C2,"['Certains partenaires ne demandent pas', ""n'est pas votre consentement et"", 'peuvent nuire à leurs intérêts commerciaux.', 'al légitime pour traiter votre don', 'né.']"
1627,"Malgré la montée des problèmes liés à l'obésité, la priorité absolue de la FAO reste la lutte contre la faim, car 840 millions de personnes continuent de souffrir chroniquement de sous-alimentation.",C1,"['Malgré les problèmes croissants l', ""l'obésité, l'abs prioritaire"", 'Le rôle de la FAO reste la lutte contre la traite des êtres humains.', 'et la faim, parce que 840 millions de d', 'les gens continuent de souffrir', 'sous-alimentation chronique', 'Proposition de règlement (CEE) du Conseil modifiant le règlement (CEE) no 4060/92 portant organisation commune des marchés dans le secteur de la viande bovine (JO L 347 du 30.12.1992, p. 1).']"
3213,Ce n'est pas important.,A1,"[""Ce n'est pas important.""]"
33,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,"[""L'ancienne chronologie ne prend pas"", 'sens que sur une large circonférence d', 'et la Méditerranée, ainsi que', ""La ventilation spatiale n'est pas pertinente"", ""en tant qu'entité géographique seulement"", 'e au cours de cette période', ""que la mer intérieure n'est pas"", 'pas vécu comme une limite.']"
911,"Elle évoque un autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins bien à l'école.",B1,"['Elle a mentionné un autre point:', ""Aujourd'hui, certains pensent"", 'Un seul enfant élevé sur deux', 'différentes langues réussit moine', ""Je suis bon à l'école.""]"
3018,"Les fans des costumes de Carrie Bradshaw dans ""Sex and the City"" se régaleront devant les tenues d'Emily, de la même créatrice, Patricia Field (même si on lève les yeux au ciel quand Emily se met à porter des bérets).",B2,"['Les fans des costumes de Carrie', 'Bradshaw dans ""Sex et la ville""', 'profitera avant les tenues', ""d'Emily, du même créateur,"", 'Patricia Field (même si nous liftons)', 'les yeux dans le ciel quand Emily est', 'porte des bérets).']"
79,"Un autre : Oui, on leur a bien donné des noms",A2,"[""Un autre: Oui, nous l'avons fait."", 'nom de famille']"
4453,"Et comme la première entrée n'arrivait pas, ils buvaient de temps en temps une gorgée de champagne en grignotant des croûtes arrachées sur le dos des petits pains ronds.",C2,"[""Et comme la première entrée n'est pas ar"", ""Ils n'ont pas bu du tout."", 's parfois une gorgée de champ', 'Pas de croûtes de grignotage arr', 'Séché sur le dos du pai', 'Tourne-toi.']"
254,"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A2,"['Elle ressemble à un bébé tigre,', ""Mais c'est un tigre qui est très"", 'eur.']"
2990,"J'adore ma grand-mère, elle est très gentille",A1,"[""J'aime ma grand-mère, elle est"", 'Très joli.']"
4492,L'intervalle entre les deux séances est trop long.,B1,"[""L'intervalle entre les deux coutures"", ""C'est trop long.""]"
486,"Liberté privée, ordre public: telle est l'équation fétiche des Français.",B2,"['Liberté privée, ordre public :', ""C'est l'équation fétichiste de F"", 'Tu es de retour.']"
1849,La biographie est une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C1,"['La biographie est une gâterie', ""mais la vie quotidienne de l'écrivain"", 'alimentation publique sur les innombrables', 'a demande de services ad hoc', 's formulés par des individus', 'et les entreprises.']"
4444,"En plus de toutes ces activités, le Salon du Chocolat est également l'endroit rêvé pour découvrir et acheter les chocolats de nombreux artisans chocolatiers du monde entier, réunis en un seul lieu à Paris",B1,"['En plus de toutes ces activités,', 'le Salon du Chocolat est égal', 'Entre dans le lieu de rêve à découvrir', 'r et acheter des chocolats de', 'mbreux artisans chocolatiers du', 'monde, unie en un', 'se déroulant à Paris']"
3103,"Pas question d'être 13 à table, ça porterait malheur",B2,"[""Il n'y a pas besoin d'avoir 13 à la table,"", 'Ce serait malchanceux.']"
2600,"D'après des témoignages de chefs d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est un salarié comme les autres, avec en plus, la volonté de s'en sortir .",B1,"[""D'après le témoignage des chefs"", ""des entreprises collectées dans les États membres de l'Union européenne"", ""Guide France Info L'employé ha"", ""dans l'entreprise, ceci de"", ""nd est un employé comme ils l'ont fait"", 'avec, en outre, la volonté', ""pour s'en sortir.""]"
471,Il est midi et quize minutes.,A1,['Il est midi et 12 minutes.']
1144,"Le monastère avait donc conservé son église médiévale, qui faisait également office de paroissiale.",C1,"['Le monastère avait donc conservé', 'son église médiévale, qui a', 'il sert aussi comme paroissien', 'Les.']"
3951,J'ai froid,A1,"[""J'ai froid.""]"
1231,Le paysage devient tout blanc à cause de la neige et de la glace.,A1,"['Le paysage devient tout blanc à', 'cause de la neige et de la glace', 'Non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non,']"
1717,"Si quelques-uns échappent à cette destinée générale, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, parce que le mépris remplace la moquerie, et que le mépris est silencieux.",C2,"['Si quelques-uns échappent à ça', ""c'est l'objectif général, ils contiennent"", 'en eux-mêmes leur désententem', 'le secret; ils voient en', 'la plupart du ridicule la ger', 'vices : ils ne se moquent pas de ça', 'parce que le mépris ne suffit pas.', 'Mplaces moqueries, et que le moi', 'prise est silencieuse.']"
4104,Salue tes parents de ma part,A1,['Dis bonjour à tes parents pour moi.']
2369,Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.,A2,"['Il y a deux possibilités :', ""son accent lui permettra d'être"", 'et ce sera très bien.']"
4545,"La communauté d'héritier a la qualité de contribuable, ainsi le revenu et la fortune nets de la société sont attribués aux personnes physiques formant la communauté d'héritiers, sauf pour le canton du Tessin où c'est l'hoirie qui est imposée !",C2,"['La communauté des héritiers a', ""L'incapacité du contribuable, donc le"", 'le revenu net et la richesse de la', ""l'entreprise est attribuée à des personnes"", 'Physiquement formant le commun', ""autres héritiers, à l'exception"", ""Ticino est anton où c'est le hoiri"", 'e est imposé!']"
2530,"Un souffle de vent les dispersait, la pierre s'était de nouveau assombrie, mais, comme apprivoisés, ils revenaient ; elle recommençait imperceptiblement à blanchir et par un de ces crescendos continus comme ceux qui, en musique, à la fin d'une ouverture, mènent une seule note jusqu'au fortissimo suprême en la faisant passer rapidement par tous les degrés intermédiaires, je la voyais atteindre à cet or inaltérable et fixe des beaux jours, sur lequel l'ombre découpée de l'appui ouvragé de la balustrade se détachait en noir comme une végétation capricieuse, avec une ténuité dans la délinéation des moindres détails qui semblait trahir une conscience appliquée, une satisfaction d'artiste, et avec un tel relief, un tel velours dans le repos de ses masses sombres et heureuses qu'en vérité ces reflets larges et feuillus qui reposaient sur ce lac de soleil semblaient savoir qu'ils étaient des gages de calme et de bonheur.",C2,"['Un souffle de vent les dispersa', 't, la pierre était revenue', 'obscurci, mais, comme appris,', ""Ils revenaient, elle s'est résignée."", 'balancé de façon imperceptible', ""hir et par l'un de ces crescendos"", 'a continué comme ceux qui, dans le musi', ""à la fin d'une ouverture, m"", 'une seule note à la fo', 'rtissimo suprême en le faisant p', 'rapidement asservis par tous les', ""Je l'ai vue, je l'ai vue."", 'pour atteindre cet or inaltérable', 'et de mettre de bons jours sur le', ""ce que l'ombre coupée du support"", 'Travaillé à partir de la balustrade est dévot', 'acheté en noir comme un végétal', 'ion capricieux, avec un tenuit', 'dans la délimitation des moines', 'les détails qui semblaient trahir u', ""n'applique pas la conscience, un sat"", ""artiste d'Isfaction, et avec un"", 'un tel soulagement, un tel velours en', 'le reste de ses masses sombres e', ""t heureux qu'en vérité ces refs"", 'De larges et caduques laits qui repo', 'sur ce lac de soleil semb', ""ils savaient qu'ils étaient"", 'la paix et le bonheur.']"
3676,Il y a eu trois expéditions.,B1,['Il y a eu trois expéditions.']
1075,"Honte de devoir leur amour à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes seize ans.",C1,"['Honte de devoir leur amour à mon', 'beauté, ma beauté dégoûtante que', 'Je bats les paupières de la', 'Chérie, ma beauté méprisable', 'Ils me brisent les oreilles.', ""Depuis que j'ai 16 ans.""]"
144,"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course poursuite menée par Armel depuis le 23 novembre dernier, quarante-sept jours de haute tension qui se terminent aujourd'hui",C1,"['Une huitième édition dominée par', 'le duel au sommet avec Alex Tho', 'Mson, une course de chasse', 'par Armel depuis le 23 novembre', 'dernier, quarante-sept jours de', 'fin de haute tension', ""Aujourd'hui""]"
3662,Les femmes sont sous-représentées dans le domaine des sciences.,B2,"['Les femmes sont sous-représentées', 's dans le domaine de la science.']"
3435,Par degrés mes sentiments se réveillèrent.,C2,"['Par degrés mes sentiments sont révérends', 'Je me suis envolé.']"
2135,Théo vérifie qu'il a bien fait son lit avant de s'habiller et de partir à l'école,A2,"[""Theo vérifie qu'il a fait ce qu'il fallait."", ""son lit avant de s'habiller et"", ""pour aller à l'école""]"
3496,"Ils ne connaissaient des contrées voisines que ce que leur révélaient les visites rares de voyageurs égarés ou de hardis marchands, et ne désiraient pas en connaître davantage, leur sol étant fécond et suffisant à leurs besoins.",B2,"['Ils ne connaissaient pas un pays.', ""s proche de ce qu'ils leur révèlent"", 'ont des visites de voyage rares', 'des cœurs perdus ou hardiment marchant', ""ds, et n'a pas souhaité à conn"", 'être plus, leur sol étant', 'fertiles et suffisants pour leurs besoins', ""C'est pas vrai.""]"
3961,On y met des coussins et on peut parfois l'utiliser en lit.,B1,"['On y met des coussins et on peut', ""parfois l'utiliser au lit.""]"
3464,"Par ailleurs, Platon, dans Protagoras, relate l'apparition de la technique, et donc du travail, chez les Hommes dans ""le mythe de Prométhée""",C2,"['En outre, Platon, en Prota', ""Goras, raconte l'apparition du"", 'technique, et donc de travail,', 'dans ""Le Mythe des Hommes""', 'e Prométhée']"
3882,"Selon le journaliste Nicholas Carr, l'usage intensif d'Internet modifierait nos comportements de travail intellectuel et dégraderait nos capacités cognitives.",B2,"['Selon le journaliste Nicholas Ca', ""rr, l'utilisation intensive de l'Internet"", 'changerait notre comportement en', 'Travaux intellectuels et de détérioration', 'et nos capacités cognitives.']"
1512,En un mot : toute ma vie.,A2,"['En un mot, toute ma vie.']"
1362,La didascalie offre un éclairage totalement nouveau de l'oeuvre.,C2,"[""Diascalia offre l'éclairage"", 'complètement nouveau dans le travail.']"
2465,Des enfants en choeur : Des petits pois avec de la salade !,A2,"['Enfants en choeur: Peti', 'Pois à la salade!']"
2328,"À l'aube de notre modernité, Mary Shelley questionnait la nature humaine et non la machine: le face-à-face entre Frankenstein et sa créature autonome interroge la possibilité d'un homme sans âme.",C1,"[""A l'aube de notre modernité, Mar"", 'Shelley a mis en doute la nature', 'humaine et non machine: f', 'droit-à-face entre Frankenstein et', 'les questions de sa créature autogérée', ""la possibilité d'un homme sans"", 'Moi.']"
4284,Que faire à Paris ?,A1,['Que faire à Paris?']
2080,Je peux proposer une note si vous voulez.,B1,"['Je peux vous proposer une note.', 'Je le veux.']"
3081,Vous prenez la voiture.,A1,['Tu prends la voiture.']
1344,Vous ne passerez pas !,A2,['Vous ne passerez pas!']
3168,On a besoin de faire une pause.,A1,['Nous devons faire une pause.']
3686,Plusieurs milliers de classes ont participé à ce projet.,C2,"['Plusieurs milliers de classes sur', 't a participé à ce projet.']"
530,"Toutes ces données indiquent ""que le problème de la malnutrition devient plus complexe et que les stratégies de lutte des pays et des organisations internationales devront s'attaquer au triple fardeau qui pèse désormais sur les pays en développement : les maladies infectieuses, les carences alimentaires et les maladies chroniques liées à la surcharge pondérale"", précise Francis Delpeuch.",C1,"['Toutes ces données indiquent que', 'Le problème de la malnutrition', 'est de plus en plus complexe et', 'Stratégies de lutte contre les pays e', 'des organisations internationalesa', ""ils devront s'attaquer au triple"", 'la charge qui pèse maintenant sur', 'les pays en développement :', 'maladies infectieuses, soins', 'Denrées alimentaires et maladies', 'chroniquement liée à la surcharge', 'Le poids », dit Francis Del.', 'Peuch.']"
764,"Bruno Bonnell Le mot ""robot"" a été inventé par l'auteur tchèque Karel Capek de la pièce Rossum's Universal Robots (R.U.R), jouée en 1920, et qui mettait en scène des hommes décérébrés prenant la place des ouvriers dans les usines.",C1,"['Bruno Bonnell Le mot ""robot""', ""inventé par l'auteur tchèque"", 'Karel Capek de Rossum', 'Robots universels (R.U.R.), joués', 'en 1920, et qui a mis en scène', 'e Hommes dépréciés prenant', ""la place des travailleurs dans l'Union européenne"", 'Sinus.']"
1937,"Bien que les policiers réclament plus de pouvoirs concernant l'écoute électronique des logiciels de téléphonie Internet, l'Italie a souligné son désaccord avec une telle politique.",C1,"['Bien que la police soit exigeante', 'des pouvoirs supplémentaires relatifs à la', 'Coûts des logiciels électroniques', 'Téléphonie sur Internet, Itali', 'il a souligné son désaccord avec', 'une telle politique.']"
2114,J'ai deux enfants.,A1,"[""J'ai deux enfants.""]"
4082,Ont-ils des contacts avec l'extérieur ?,B1,"[""Ont-ils un contact avec l'extérieur"", ""À l'intérieur?""]"
1434,"Le comte me découvrit dans l'espèce de retraite où je m'étais réfugié ; il vint à moi, me prit par la main, et me conduisit vers Ellénore.",C2,"[""Le compte m'a découvert dans le sp"", ""la retraite où j'avais"", ""réfugié; il est venu à moi, m'a emmené."", ""A la main, et m'a conduit à"", 'Ellenore.']"
373,"Dès que vous eûtes ouvert la porte, le chat entra avec empressement",C2,"['Dès que vous avez ouvert le por', 'Toi, le chat est entré avec hâte', 'entrez']"
1375,Vous pleuriez beaucoup. Pourquoi ?,A2,"['Tu pleurais beaucoup.', ""- C'est de ça que tu parles?""]"
751,"Sur la pente espagnole, des aconits bleu sombre ; plus bas, l'iris xiphoïde bleu porcelaine ; surprise de le retrouver ici à l'état sauvage.",C2,"['Sur la pente espagnole, acon', ""son bleu foncé ; plus bas, l'ir"", 'est une porcelaine bleu xiphoide ; su', 'Récupérez-le ici à la fin de la journée.', 'Tat sauvage.']"
2036,"Je m'agitais ainsi intérieurement, lorsque je fis connaissance avec le comte de P ***, homme de quarante ans, dont la famille était alliée à la mienne.",C1,"[""J'étais tellement en train d'emménager à l'intérieur"", ""T, quand j'ai rencontré"", ""le comte de P ***, l'homme de"", '40 ans, dont la famille', 'Allié avec le mien.']"
3274,"En tout, seize chansons interprétées sur une scène où a été reconstituée une terrasse de café parisien.",B2,"['Un total de seize chansons', 'sur une scène où il y a eu une réco', 'mettre en place une terrasse à café pa', 'Risian.']"
65,"Et toi, qu'est-ce que tu vas faire ?",A2,"[""Et toi, qu'est-ce que tu vas faire?"", ""C'est vrai?""]"
2512,"Si vous ne mangez que des légumes, ce restaurant n'est pas pour vous !",B1,"['Si vous ne mangez que des légumes', ""s, ce restaurant n'est pas pour"", 'Toi!']"
199,"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",B1,"['La date, le lieu et le lieu sont choisis.', 'le projet qui nous intéresse, o', 'Vous payez et nous partons!']"
561,Nous sommes en retard.,A1,['Nous sommes en retard.']
3027,Le docteur offre un travail pour combien de temps ?,A1,"['Le médecin offre un emploi pour', 'Combien de temps?']"
3142,"Je me disais voilà les produits que l'on utilise actuellement ne sont pas d'origine naturelle, clairement pas",B1,"['Je pensais que ce sont les produits.', ""qui est en cours d'utilisation"", ""ne sont pas d'origine naturelle, c"", 'pas']"
655,"Déjà, les problèmes s'accumulent.",B2,"[""Déjà, les problèmes s'accumulent"", 'Non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non,']"
2840,"Et depuis que nous sommes amis : ""Elle vit d'amour et d'eau fraîche"", ricanent certains dans son dos.",B1,"[""Et depuis qu'on est amis :"", '""Elle vit avec amour et eau douce', '""J\'éternue un peu dans son', 'Reculez.']"
879,"La haie formait comme une suite de chapelles qui disparaissaient sous la jonchée de leurs fleurs amoncelées en reposoir ; au-dessous d'elles, le soleil posait à terre un quadrillage de clarté, comme s'il venait de traverser une verrière ; leur parfum s'étendait aussi onctueux, aussi délimité en sa forme que si j'eusse été devant l'autel de la Vierge, et les fleurs, aussi parées, tenaient chacune d'un air distrait son étincelant bouquet d'étamines, fines et rayonnantes nervures de style flamboyant comme celles qui à l'église ajouraient la rampe du jubé ou les meneaux du vitrail et qui s'épanouissaient en blanche chair de fleur de fraisier.",C2,"['La haie était comme une suite', 'de chapelles qui ont disparu', 'sous la jonque de leurs fleurs', 'repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos; repos;', ""sous eux, le soleil s'est couché à"", 'terre une grille de clarté,', ""comme s'il venait de traverser"", ""une fenêtre en verre; leur parfum s'éteint"", 'était aussi onctueux, aussi deli', ""sous sa forme seulement si j'avais"", ""était devant l'autel de la Vierge,"", 'et les fleurs, ornées,', 'chacun avec un air distrait', ""son bouquet pétillant d'étalin"", 'a, veines fines et radieuses', 'style flamboyant comme une cellule', ""qui à l'église a ouvert le"", 'rampe de jube ou les traîneaux de la', 'vitraux qui ont prospéré', 'chair de fleurs blanches fra', 'Une liqueur.']"
3810,Je la considérais comme une créature céleste.,B2,"[""Je l'ai considéré comme une création."", ""C'est un rêve céleste.""]"
