sentence,letter
Salue tes parents de ma part,A
Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.,B
"La communauté d'héritier a la qualité de contribuable, ainsi le revenu et la fortune nets de la société sont attribués aux personnes physiques formant la communauté d'héritiers, sauf pour le canton du Tessin où c'est l'hoirie qui est imposée !",B
"Un souffle de vent les dispersait, la pierre s'était de nouveau assombrie, mais, comme apprivoisés, ils revenaient ; elle recommençait imperceptiblement à blanchir et par un de ces crescendos continus comme ceux qui, en musique, à la fin d'une ouverture, mènent une seule note jusqu'au fortissimo suprême en la faisant passer rapidement par tous les degrés intermédiaires, je la voyais atteindre à cet or inaltérable et fixe des beaux jours, sur lequel l'ombre découpée de l'appui ouvragé de la balustrade se détachait en noir comme une végétation capricieuse, avec une ténuité dans la délinéation des moindres détails qui semblait trahir une conscience appliquée, une satisfaction d'artiste, et avec un tel relief, un tel velours dans le repos de ses masses sombres et heureuses qu'en vérité ces reflets larges et feuillus qui reposaient sur ce lac de soleil semblaient savoir qu'ils étaient des gages de calme et de bonheur.",C
Il y a eu trois expéditions.,A
"Honte de devoir leur amour à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes seize ans.",C
"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course poursuite menée par Armel depuis le 23 novembre dernier, quarante-sept jours de haute tension qui se terminent aujourd'hui",C
Les femmes sont sous-représentées dans le domaine des sciences.,B
Par degrés mes sentiments se réveillèrent.,C
Théo vérifie qu'il a bien fait son lit avant de s'habiller et de partir à l'école,A
"Ils ne connaissaient des contrées voisines que ce que leur révélaient les visites rares de voyageurs égarés ou de hardis marchands, et ne désiraient pas en connaître davantage, leur sol étant fécond et suffisant à leurs besoins.",B
On y met des coussins et on peut parfois l'utiliser en lit.,A
"Par ailleurs, Platon, dans Protagoras, relate l'apparition de la technique, et donc du travail, chez les Hommes dans ""le mythe de Prométhée""",C
"Selon le journaliste Nicholas Carr, l'usage intensif d'Internet modifierait nos comportements de travail intellectuel et dégraderait nos capacités cognitives.",C
En un mot : toute ma vie.,A
La didascalie offre un éclairage totalement nouveau de l'oeuvre.,B
Des enfants en choeur : Des petits pois avec de la salade !,A
"À l'aube de notre modernité, Mary Shelley questionnait la nature humaine et non la machine: le face-à-face entre Frankenstein et sa créature autonome interroge la possibilité d'un homme sans âme.",C
Que faire à Paris ?,A
Je peux proposer une note si vous voulez.,A
Vous prenez la voiture.,A
Vous ne passerez pas !,A
On a besoin de faire une pause.,A
Plusieurs milliers de classes ont participé à ce projet.,B
"Toutes ces données indiquent ""que le problème de la malnutrition devient plus complexe et que les stratégies de lutte des pays et des organisations internationales devront s'attaquer au triple fardeau qui pèse désormais sur les pays en développement : les maladies infectieuses, les carences alimentaires et les maladies chroniques liées à la surcharge pondérale"", précise Francis Delpeuch.",C
"Bruno Bonnell Le mot ""robot"" a été inventé par l'auteur tchèque Karel Capek de la pièce Rossum's Universal Robots (R.U.R), jouée en 1920, et qui mettait en scène des hommes décérébrés prenant la place des ouvriers dans les usines.",C
"Bien que les policiers réclament plus de pouvoirs concernant l'écoute électronique des logiciels de téléphonie Internet, l'Italie a souligné son désaccord avec une telle politique.",C
J'ai deux enfants.,A
Ont-ils des contacts avec l'extérieur ?,B
"Le comte me découvrit dans l'espèce de retraite où je m'étais réfugié ; il vint à moi, me prit par la main, et me conduisit vers Ellénore.",C
"Dès que vous eûtes ouvert la porte, le chat entra avec empressement",A
Vous pleuriez beaucoup. Pourquoi ?,A
"Sur la pente espagnole, des aconits bleu sombre ; plus bas, l'iris xiphoïde bleu porcelaine ; surprise de le retrouver ici à l'état sauvage.",C
"Je m'agitais ainsi intérieurement, lorsque je fis connaissance avec le comte de P ***, homme de quarante ans, dont la famille était alliée à la mienne.",C
"En tout, seize chansons interprétées sur une scène où a été reconstituée une terrasse de café parisien.",B
"Et toi, qu'est-ce que tu vas faire ?",A
"Si vous ne mangez que des légumes, ce restaurant n'est pas pour vous !",A
"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",B
Nous sommes en retard.,A
Le docteur offre un travail pour combien de temps ?,A
"Je me disais voilà les produits que l'on utilise actuellement ne sont pas d'origine naturelle, clairement pas",B
"Déjà, les problèmes s'accumulent.",B
"Et depuis que nous sommes amis : ""Elle vit d'amour et d'eau fraîche"", ricanent certains dans son dos.",B
"La haie formait comme une suite de chapelles qui disparaissaient sous la jonchée de leurs fleurs amoncelées en reposoir ; au-dessous d'elles, le soleil posait à terre un quadrillage de clarté, comme s'il venait de traverser une verrière ; leur parfum s'étendait aussi onctueux, aussi délimité en sa forme que si j'eusse été devant l'autel de la Vierge, et les fleurs, aussi parées, tenaient chacune d'un air distrait son étincelant bouquet d'étamines, fines et rayonnantes nervures de style flamboyant comme celles qui à l'église ajouraient la rampe du jubé ou les meneaux du vitrail et qui s'épanouissaient en blanche chair de fleur de fraisier.",C
Je la considérais comme une créature céleste.,A
"Merci Gaio, Ne t'inquiète pas, fais à ton rythme.",A
"Et par rapport à toute cette frénésie, on a besoin de prendre du recul",B
Le cours de géographie est annulé.,A
Vous méritez un coup de chapeau pour ce merveilleux spectacle innovant et divertissant !,A
"Et en août, nous passerons peut-être quelques jours dans les montagnes.",B
Pourquoi le maire de la ville n'a pas accepté cette loi ?,B
"il y a du travail, des théâtres, des cinémas, la vie culturelle est riche",A
"Interrogées, nombre de mathématiciennes le contestent.",B
"Je crois qu'en cinquante ans d'amitié on ne s'est pas disputées une fois, on a eu des petits mots de temps en temps mais jamais on s'est fait la tête, jamais on n'est restées sans se parler, jamais, jamais, jamais.",B
Il faudrait inventer un temps particulier pour l'apprentissage.,A
J'ai faim,A
"La réussite professionnelle fait oublier l'âge, l'échec le rappelle, reconnaît-il.",B
ça me fait plaisir de manger de bonnes choses.,A
"A Marrakech en 2001, 15 pays avaient décidé de créer un fonds spécial changements climatiques.",B
Ce commandant mena plusieurs batailles épiques grâce à sa bravour et ses tactiques militaires ingénieuses.,B
Marie m'a téléphoné et elle m'a rejoint.,A
Comment est votre blanquette ?,A
Tu es fatigué en hiver?,A
Je n'aime pas cette photo.,A
On ne se comprend pas du tout.,A
Cet amour-propre était en tiers entre Ellénore et moi.,C
La chaîne cryptée a lancé un buzz autour du cassoulet comme William Saurin et ses concurrents en auraient sûrement rêvé.,C
"Bonjour, c'est mon dernier jour dans cette école.",A
"Simone est comédienne, mais deux fois par mois, elle vient au siège de SNCF pour enregistrer ses annonces",B
"Enfin, selon le Haut conseil en santé publique, les ""lieux diffusant de la musique amplifiée"" ne doivent pas dépasser le niveau moyen de 105 dB durant quinze minutes, ce qui est rarement respecté.",B
Ils ont des étoiles plein les yeux,A
"Le 25 approche, on réfléchit au repas et aux convives",B
"C'est très important, surtout dans une dynamique d'innovation dans laquelle travaille typiquement une équipe de développement de voir, en tant que manager, que les personnes en face s'expriment indépendamment, offrent leurs pistes d'amélioration sur leur travail au quotidien.",C
"À l'extrémité de la digue on voyait s'élever, sur les dessins du fameux marquis Gagnola, une chapelle bâtie tout entière en blocs de granit énormes, et, dans la chapelle, Marchesi, le sculpteur à la mode de Milan, lui bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter les belles actions de ses ancêtres.",C
Je mange de l'herbe,A
Il y a même des restaurants,A
"Aujourd'hui, la méthode est bien rodée.",A
"Puis, l'informatique est arrivé et petit à petit, nous avons commencé à enregistrer effectivement des petites phrases, des groupes de mots, voire même des mots, qui ensuite sont collés les uns aux autres",C
Sont visés les plans de participation du personnel mis en place par une société en faveur de ses employés sous forme d'octroi d'actions ou d'options.,C
je suis déjà en train de sortir du lit.,A
Est-ce que le professeur Omar est libre ?,A
"Trois applicatifs à long terme portent sur la conception d'une poche de perfusion, la sélection d'une bande de contention et l'optimisation d'ampoules injectables.",C
"Nous avons l'habitude d'acheter quinze pommes, ce sont elles qui les comptent et les mettent dans notre panier.",B
La religion est la grande consolatrice des virginités,A
On fait aujourd'hui en terminale ce qu'on faisait hier à l'université.,A
"Elle est arrivée blessée à la consultation médicale, mais souriante.",A
Ça ne marche pas.,A
La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,B
Dix ans de fidélité avaient inspiré à M. de P *** une confiance entière ; il laissait à Ellénore la plus grande liberté.,C
"Salut, moi c'est Laura.",A
C'est en Italie que les deux mots sont le plus souvent associés.,A
Son retour fut moins prompt que ne l'espérait le comte de P ***.,C
Il avait une de ces pâleurs splendides qui donnent quelque chose de la majesté des marbres aux races ardentes du Midi.,B
Nous sommes conscients que ces questions touchent également à la sphère privée des donneuses et des donneurs.,C
"Dès la première scène, il enthousiasma.",A
On peut cependant imaginer les fromages qui pourraient figurer sur un plateau de fromage type.,B
Un descendant est un individu qui descend d'un autre autrement dit l'enfant d'un individu.,B
Une étude menée par des chercheurs de l'université McGill au Canada vient apporter de nouveaux éléments sur cette étape.,C
"Selon l'élue du 1er arrondissement, la coupe dans le budget de l'opéra répond aussi aux recommandations récurrentes de la chambre régionale des comptes, reprochant l'impact de l'établissement lyrique dans les finances municipales.",C
Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.,A
Le corgi a l'allure d'un petit renard.,A
"Une fois leur projet abouti, ils parlent de liberté, d'harmonie, de renaissance.",B
"Pour aller plus loin Si vous avez envie d'écouter d'autres histoires, je vous invite fortement à lire celles-ci .",A
L'univers des francophones est un métissage unique et fertile,A
Mon cas personnel est peut être ici éclairant : je suis bilingue anglais,A
"Un enseignement scolaire pour créer des liens entre les matières A cet égard, l'apprentissage du code, qui plus est en périscolaire, est limitatif.",C
"Écoutant, en effet, les cris d'allégresse qui montaient de la ville, Rieux se souvenait que cette allégresse était toujours menacée.",B
Il fait un temps magnifique et nous avons des milliers de choses à faire !,A
"Bonjour, un café s'il vous plaît.",A
"C'est génial, j'ai tout vu avant vous !",A
L'idée de base en commande référencée vision consiste a considérer un système de vision comme un capteur particulier associé à une tâche et inséré dans une boucle de commande.,C
"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B
"Le marquis la reçut de mauvaise grâce, debout dans le vestibule, et mit un certain temps à comprendre ce qu'elle voulait car c'était une femme aux mots remâchés et aux circonlocutions amphigouriques",B
"Un lundi, Franck et Guillaume, qui travaillaient tous les dimanches comme extras dans un autre restaurant sur l'avenue, se sont rendus au chevet de leur grand-mère",C
"Ce dernier lui décrit sa patrie dans les contrées du sud, il lui parle des coutumes, des traditions de son peuple.",B
Il a pris son parapluie et il est sorti.,A
"En Amérique du Nord, LeeAnn Walters, une femme au foyer, a été distinguée pour avoir créé un mouvement citoyen qui a permis de révéler la crise de l'eau contaminée de Flint dans le Michigan",C
Il met son plus beau costume et son chapeau,A
Un rocher est une grande masse de pierre dure qui est enracinée dans la terre.,A
Une indéniable sérénité se reflétait sur ses traits.,C
Cette actrice américaine aurait disparu de chez elle hier.,B
"Il dégoise, l'ostrogoth de la téloche formaté au formol, tel un psittacidé déréglé et moche.",B
"Se sentant lésée, elle veut déposer une plainte contre la direction.",B
Je mange une pomme.,A
"John Keogak, 45 ans, chasseur à Sachs Harbour, reconnaît l'impact médiatique de la mesure, mais entretient peu d'illusions sur son efficacité.",C
"Pour compenser les pertes d'eau par transpiration, il faut se réhydrater en continu : dans le désert, il peut être nécessaire de boire jusqu'à 10 litres d'eau par jour.",B
"Comme toujours, l'histoire peut apporter des enseignements intéressants.",A
Le grand Meaulnes jeta son chapeau par terre et je vis qu'il avait les cheveux complètement ras comme un paysan.,B
J'aime beaucoup ce manteau noir.,A
Une autre organisation qui produit sa part d'impact sur les peuples autochtones de la côte est la Commission baleinière internationale .,C
Changer de vie.,A
"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",C
La dame ne vient pas.,A
L'homme par qui le scandale est arrivé ne cachait pas son émotion.,A
"Ce réseau de lieux se déploie à l'échelle européenne, non sans rencontrer des barrières linguistiques (l'allemand) ou des frontières difficiles à franchir de la France).",B
"Pour certains auteurs, les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise",B
Alors le Salon du Chocolat est l'événement à ne pas manquer,A
Je consulte d'habitude ma messagerie. Et puis je prends un café.,A
Ils ne se parlent plus depuis qu'ils se sont disputés.,B
"Ils ont chaud, donc ils profitent de la piscine du camping et de la mer pour se baigner.",A
"Pourtant, ce geste familier rappelle quotidiennement la construction inégalitaire du Monde initiée au XVe siècle.",C
"Aujourd'hui, plus aucun grand laboratoire de médicaments ne peut rester isolé.",A
"La trap, ça reste du rap, c'est juste un petit dérivé",A
Je suis impatient de retrouver mes camarades et de connaître mon emploi du temps.,A
"Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine",B
"À gauche, c'est ma salle de bain, avec vue sur mon jardin.",A
J'ai 20 ans.,A
"Environ 60000 enseignants possèdent un compte sur le site de la Fondation, qui forme plusieurs milliers d'enseignants (de la maternelle à la troisième) chaque année.",B
"C'était presque la première fois, parce qu'elle ne sourit pas très souvent.",A
Je suis nouveau ici.,A
"HomeExchange, la plateforme par laquelle la famille est passée a vu ses demandes d'échanges de maison entre particuliers doubler cet été par rapport à l'année dernière.",B
Quelle est ta chanson préférée dans le spectacle ?,A
"Dès sa descente de voiture, au premier plan de ce résumé fictif de leur vie domestique que les maîtresses de maison prétendent offrir à leurs invités les jours de cérémonie et où elles cherchent à respecter la vérité du costume et celle du décor, Swann prit plaisir à voir les héritiers des ""Tigres"" de Balzac, les grooms, suivants ordinaires de la promenade, qui, chapeautés et bottés, restaient dehors devant l'hôtel sur le sol de l'avenue, ou devant les écuries, comme des jardiniers auraient été rangés à l'entrée de leurs parterres.",C
"Si tu as mal au dos, je peux te faire un massage, ça aide souvent.",A
"Après l'éruption de 1754, la plus grosse connue par le volcan qui avait tué plus d'un millier de personnes, la municipalité de San Nicolas avait à l'époque déménagé sept kilomètres plus loin pour s'éloigner du volcan",C
"Nous sommes au Théâtre de la Jeunesse à Hanoï pour une soirée ""Cabaret des artistes"".",B
Je suis arrivé en retard à mon rendez-vous quotidien.,A
Je voudrais poser une question.,A
"Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs",B
"Le jardin est long et étroit, il y a une balançoire au fond et un barbecue, proche de la terrasse, sur laquelle est posée un transat",B
"Par contre, les sports d'équipe comme le foot ou le basket, je n'aime pas du tout !",B
On doit aider les petits pour y arriver.,A
"Pour aller au travail, Marc porte une veste, un pantalon, une chemise et une belle cravate rouge",A
"Mais d'autres n'étaient pas d'accord : ""Son accent est tellement fort que l'auditeur va oublier ce qu'il dit"", ""La politique est un sujet trop sérieux pour être confié à une intonation aussi chantante*"" À la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : ""Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.",B
"Une des sources majeures des gaz à effet de serre dans le monde étant la production d'électricité d'origine fossile, il est donc normal de s'atteler à l'immense tâche de décarboner nos productions.",C
"Et toi, quand est-ce que tu rentres à Tours",A
j'aime beaucoup faire du parapente.,A
Elle est grande !,A
"Aux Etats-Unis, berceau de la co-éducation - et de la discrimination positive - le mélange entre élèves des deux sexes n'est plus obligatoire dans les écoles publiques depuis février 2000.",C
"Il inclinait légèrement sur l'oreille son chapeau à haute forme assez défraîchi, et battait le pavé de son talon.",B
"Il apprend ensuite tout ce qui concerne ""la recherche"", c'est-à-dire savoir trouver et identifier les passages piétons, les pistes cyclables et les rues, s'arrêter devant les portes ou les escaliers, savoir éviter les difficultés, monter dans les transports, etc.",C
"Elle eut plaisir, comme un enfant, à pousser de son doigt les larges portes tapissées ; elle aspira de toute sa poitrine l'odeur poussiéreuse des couloirs, et, quand elle fut assise dans sa loge, elle se cambra la taille avec une désinvolture de duchesse.",C
La traçabilité permet de reconstituer une séquence d'événements à partir des données numériques laissées dans les systèmes lors de leurs réalisations.,C
"C'est ici, Monsieur.",A
"Les sentiments de l'homme sont confus et mélangés ; ils se composent d'une multitude d'impressions variées qui échappent à l'observation ; et la parole, toujours trop grossière et trop générale, peut bien servir à les déguiser, mais ne sert jamais à les définir.",C
"Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d'emploi grâce à notre système d'alerte personnalisé.",C
"Ils étaient groupés autour du trône, et ils demandaient tous à la fois : ""Est-il temps, ô mon roi, est-il temps ?"" Le roi des serpents resta immobile encore quelques minutes, puis il dit: ""Il est temps !"" En disant ces mots, il descendit de son trône, et se dirigea vers le rocher, suivi de tous les autres serpents.",C
"Pourtant, dans les années 1890, les garçons coiffeurs et les employés des grands magasins manifestent, avec le soutien de la CGT, pour obtenir une demi-journée de repos hebdomadaire.",C
"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B
"Lui qui, enfant, suivait sa mère trappeur, peut encore aujourd'hui emmener son fils de 14 ans chasser, mais dit craindre la réduction des quotas de chasse pour les ours polaires.",C
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",A
"Pour Morin, notre mode de connaissance ""se borne à prévoir le probable quand surgit sans cesse l'inattendu2"".",B
"Ici, tout est mêlé et accéléré , souligne la sociologue.",A
Le facteur viens ici tous les jours !,A
Leurs maillots de bain séchaient à l'arrière de la maison et elle se débarrassa de ses vêtements de travail trempés de sueur pour enfiler son bikini.,B
"Dès qu'elle fut rentrée, elle éclata en sanglots",C
Ils sont pas chers,A
"Cet héritage s'est d'ailleurs vite révélé hétérogène : les pays pauvres d'Asie orientale, les plus éloignés des anciennes métropoles, ""émergent"" à des degrés divers dans l'économie mondiale dès les années 1970-1980.",C
"Il a fait un temps magnifique, je suis allé me promener près du parc, il y avait un petit café ouvert.",A
"On disait qu'une princesse polonaise, l'écoutant un soir chanter sur la plage de Biarritz, où il radoubait des chaloupes, en était devenue amoureuse.",B
"Le ministre de l'Education a lancé un appel d'offres aux associations pour introduire en primaire une initiation au code informatique , facultative, sur les temps périscolaires dégagés par la réforme des rythmes scolaires.",C
"Leur vue parut frapper si vivement l'adjudant sousofficier, qu'aussitôt il changea de pensée, et se mit à interroger aussi le domestique.",C
"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",A
"La vie, en outre, est composée des choses les plus différentes, les plus imprévues, les plus contraires, les plus disparates; elle est brutale, sans suite, sans chaîne, pleine de catastrophes inexplicables, illogiques et contradictoires qui doivent être classées au chapitre faits divers.",C
"Bonjour, je m'appelle Igor",A
"Ma chère Sonia, Je suis bien arrivée à Londres pour ma dernière année d'études de marketing à l'université.",A
Il veut leur faire une surprise.,A
"Si vous en avez la possibilité, ne laissez pas votre chien longtemps dans la voiture sans surveillance.",B
"Plus tôt, ils avaient été remis à un procureur, escortés de 15 officiers de police japonais venus spécialement aux États-Unis samedi pour l'occasion.",B
"Par exemple, pour gagner dix pas de terrain sur le lac, près de la fameuse allée de platanes, à côté de la Cadenabia, il faisait construire une digue dont le devis allait à quatre-vingt mille francs.",B
"Elle a toujours ses affaires, ce n'est pas le genre de fille à demander sans cesse un taille-crayon, une feuille double, comme certains que je connais.",C
"Les bars, les boulangeries, les supermarchés, les sites Internet proposent des événements qui animent cette période de l'année qui tombe entre deux moments importants : la rentrée des classes et Noël",C
"En Allemagne, par exemple, on n'a pas cours l'après-midi, tandis que nous restons au collège jusqu'à 17 heures.",B
Que restera-t-il à la rentrée des acquis de l'année scolaire ?,B
C'est trop classe,A
"Sortons, faisons quelquechose, n'importe quoi, juste pour bouger un peu!",A
Il faisait toujours très beau et surtout très chaud,A
"Plus d'un s'imposait un quart volontaire dans les barres de perroquet, qui eût maudit une telle corvée en toute autre circonstance.",C
Je ne trouve pas mes clés de maison.,A
Il vit un grand nombre de serpents qui en arrivant près d'un certain rocher le touchaient d'une herbe qu'ils tenaient à la bouche.,B
"Alors, qu'est-ce qu'on leur donne là ?",A
Elle a 84 ans et elle habite à Antibes,A
"Et il regardait tous ces hommes attablés et buvant, tous ces hommes qui pouvaient se désaltérer tant qu'il leur plaisait.",B
Juste un peu.,A
"Hier, la question aurait paru absurde, tant la cause semblait entendue.",A
C'est un spectacle magique,A
"Je cherche cette adresse, vous pouvez m'aider ?",A
"A quelle distance, en milles, la cabane se trouve-t-elle de la ville ?",B
"Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son trésor.",B
"On vient d'acheter une résidence secondaire, au Pays basque, qui sera notre point de ralliement familial.",C
"Pour aller à la mairie, s'il vous plaît ?",A
"Au sein du gouvernement français, rares sont ceux qui peuvent afficher sur leur CV ne serait-ce qu'une année à la fac!",B
"Cependant, au vu de la grande inertie liée au développement urbain et aux cycles d'aménagement du territoire, cela n'affaiblit pas la validité de l'analyse.",B
Je refusais l'idée même de passer des commandes plus petites.,A
"Un principe qui concerne déjà de nombreux produits tels que les emballages, les textiles et les pneus.",B
C'est parce qu'il n'aimait pas les plats de la cantine.,A
Jason a très faim et cherche un restaurant,A
"Premièrement, les agences réglementaires nationales exigent un nombre de patients testés toujours plus grand.",B
"Ensuite, pour qu'il y ait médiation, il faut que les deux parties soient d'accord.",B
Le prince ne se lasse pas d'écouter les récits de son ami.,B
Il est en train de ranger ses affaires.,A
"Elle signifie ""transmettre à quelqu'un un message qu'on a reçu de quelqu'un d'autre et qui lui était adressé"".",B
Que vont-ils donc faire ?,A
Le lien entre l'acteur et l'acte commis est inexistant,B
"Dès sa mise sous tension, un ordinateur exécute, l'une après l'autre, des instructions qui lui font lire, manipuler, puis réécrire un ensemble de données déterminées par une mémoire morte d'amorçage.",C
Le portable permet aux jeunes de garder un espace privé au sein de la vie familiale.,B
Ce que la porte était bien incapable de faire!,A
J'ai mangé un hamburger et des frites.,A
"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C
"Je vais lui offrir un livre que j'aime beaucoup : ""Kurt et le poisson"", tu connais?",A
"Craignant la défaite électorale, Trump dégobille allègrement sur le système électoral, parle de fraude et d'irrégularités, comme si elles étaient monnaie courante.",C
