id,difficulty,sentence
214,B2,"Ces chocolats, coulés en forme d'oeufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c'est la ""chasse aux oeufs""."
222,A1,Je vais aller vérifier.
224,A1,Papa est en voyage jusqu'à demain.
229,A1,"Cet après-midi, mes amis et moi allons au cinéma."
242,A1,Je t'appelle demain
245,A1,"Bonjour mademoiselle, qu'est-ce que je vous sers ?"
246,B2,"Les garçons, vous auriez déçu vos parents, si vous aviez échoué."
248,A1,Je voudrais remercier ma mère à laquelle je dois tout.
249,B2,Le but: Interdire aux jeunes de certains quartiers de sortir entre minuit (parfois 22 heures) et 6 heures du matin s'ils ne sont pas accompagnés d'un adulte.
252,A1,Max ira à l'université l'année prochaine.
253,B2,Ces derniers sont souvent générés ou amplifiés par une société toujours plus individualiste et ambivalente.
255,C2,"Et les étoffes vivaient, dans cette passion du trottoir : les dentelles avaient un frisson, retombaient et cachaient les profondeurs du magasin, d'un air troublant de mystère ; les pièces de drap elles-mêmes, épaisses et carrées, respiraient, soufflaient une haleine tentatrice ; tandis que les paletots se cambraient davantage sur les mannequins qui prenaient une âme, et que le grand manteau de velours se gonflait, souple et tiède, comme sur des épaules de chair, avec les battements de la gorge et le frémissement des reins."
257,A1,Je porte un pantalon.
258,A1,Jean va tous les jours à la plage
259,C2,"Le départ de Mlle Swann qui - en m'ôtant la chance terrible de la voir apparaître dans une allée, d'être connu et méprisé par la petite fille privilégiée qui avait Bergotte pour ami et allait avec lui visiter des cathédrales - me rendait la contemplation de Tansonville indifférente la première fois où elle m'était permise, semblait au contraire ajouter à cette propriété, aux yeux de mon grand-père et de mon père, des commodités, un agrément passager, et, comme fait, pour une excursion en pays de montagnes, l'absence de tout nuage, rendre cette journée exceptionnellement propice à une promenade de ce côté ; j'aurais voulu que leurs calculs fussent déjoués, qu'un miracle fît apparaître Mlle Swann avec son père, si près de nous que nous n'aurions pas le temps de l'éviter et serions obligés de faire sa connaissance."
262,A1,"Oui, bien sûr !"
274,A1,"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson"
276,B2,"""Les jeunes filles peuvent aussi être découragées par un manque d'offre ou de créneaux horaires attrayants"", note l'Insee."
280,A1,Nous allons à la plage.
287,C2,"Pour mieux maîtriser sonlangage en septembre qu'en juin, l'écrivain YakRivais propose une approche très personnelle quin'en finit pas de séduire. Cet auteur tellement lupour sa Grammaire impertinentepropose aussi.des Jeux pour lire vite(Retz). De quoi faire aimerla grammaire aux plus récalcitrants ! Qui résisteen effet au plaisir de ""schtroumpfer"" son texte, c'est-à-dire d'y remplacer tous les verbes d'actionet les participes passés par le verbe ""schtroump-fer"", correctement accordé, bien sûr ? Qui se refu-serait à trouver le plus rapidement possible le motle plus long d'un petit texte ? Ou à identifier desmots cachés."
299,A1,C'est notre petite tradition à nous cinq.
301,A1,"Je suis l'itinéraire donné par Pierre, un ami français"
303,A1,Je ne trouve pas mes clés.
305,A1,Juste un moment.
307,B2,"Reste que l'acceptation des robots évoluera au fil des futures générations, et pourrait même déboucher sur de l'attachement."
310,C2,"Ce ""protocole expérimental métaphysique"" aurait donc pour objectif de prouver l'existence de la ""liberté d'indifférence"" proprement humaine"
315,C2,"Nous la chantions ensemble, ma mère assise au piano, moi, debout devant elle, une main sur le coeur, l'autre tendue vers la barricade, nous regardant dans les yeux; lorsque nous en venions à ""Aux armes, citoyens!"", ma mère abattait ses deux mains avec violence sur le clavier et je brandissais le poing d'un air menaçant."
319,A1,Vous parlez bien anglais.
320,C2,"Avec lui, par tous les royaumes de l'Europe, elle aurait voyagé de capitale en capitale, partageant ses fatigues et son orgueil, ramassant les fleurs qu'on lui jetait, brodant elle-même ses costumes: puis, chaque soir, au fond d'une loge, derrière la grille à treillis d'or, elle eût recueilli, béante, les expansions de cette âme qui n'aurait chanté que pour elle seule; de la scène, tout en jouant, il l'aurait regardée."
323,C2,"Mais j'avais repris ma vie habituelle, et l'angoisse que j'avais éprouvée commençait à se dissiper, lorsqu'au bout d'un mois M. de P *** me fit avertir qu'Ellénore devait arriver le soir."
324,A1,Ils ont passé une très bonne soirée
325,A1,Elle va souvent au cinéma
333,B2,Chacun se devait d'assister à la messe et de participer aux fêtes collectives et aux réunions familiales.
341,A1,Il s'appelle Albert et il a un an.
342,B2,"Une histoire très touchante, servie par la plume d'Anna Gavalda qui n'a pas son pareil pour dire simplement les émotions et les sentiments les plus forts."
344,C2,"D'autres auteurs ont exploité ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif, sorti à l'automne 2004 (Le Monde de l'éducationn° 328, septembre 2004)."
352,B2,"Certaines de ces organisations, comme Greenpeace, reconnaissent que les autochtones ont un droit de prendre des animaux et de préserver leur culture."
355,C2,"Au XIXe siècle la querelle du féminisme devient à nouveau une querelle de partisans ; une des conséquences de la révolution industrielle, c'est la participation de la femme au travail producteur : à ce moment les revendications féministes sortent du domaine théorique, elles trouvent des bases économiques ; leurs adversaires deviennent d'autant plus agressifs ; quoique la propriété foncière soit en partie détrônée, la bourgeoisie s'accroche à la vieille morale qui voit dans la solidité de la famille le garant de la propriété privée : elle réclame la femme au foyer d'autant plus âprement que son émancipation devient une véritable menace ; à l'intérieur même de la classe ouvrière, les hommes ont essayé de freiner cette libération parce que les femmes leur apparaissaient comme de dangereuses concurrentes et d'autant plus qu'elles étaient habituées à travailler à de bas salaires."
369,B2,"Si la plupart des habitants saluent cette loi comme un pas en avant pour la protection de l'environnement, certains commerçants s'inquiètent, comme dans ce magasin de bricolage où certains produits sont trop larges ou trop lourds pour des sacs en papier"
371,A1,Là-bas tout le monde parle anglais ! Londres est différent de Paris.
372,C2,"Mais, comme il ne s'entendait guère plus en culture qu'en indienne, qu'il montait ses chevaux au lieu de les envoyer au labour, buvait son cidre en bouteilles au lieu de le vendre en barriques, mangeait les plus belles volailles de sa cour et graissait ses souliers de chasse avec le lard de ses cochons, il ne tarda point à s'apercevoir qu'il valait mieux planter là toute spéculation."
373,A1,Je n'aime pas le fromage.
376,A1,"Aujourd'hui, je suis très occupé"
382,B2,Quelles tâches pourraient-ils accomplir?
387,A1,Je vois mon père un week-end sur deux.
390,C2,"Autrement dit, tout homme, lorsqu'il porte un regard réflexif sur lui-même, se juge spontanément libre, c'est-à-dire en mesure d'agir simplement en fonction de sa volonté"
392,A1,C'est ma meilleure amie
399,A1,La cuillère n'existe pas.
401,A1,"Oui, vous voyagez en première ou en seconde ?"
402,A1,"Oui, et ils sont bons !"
406,B2,La météo est le sujet de prédilection sur les réseaux sociaux
410,B2,Ascagne jura de se venger de Fabrice.
411,B2,"Il est ""entré en mode veille"", selon l'Agence spatiale européenne (ESA).""On ne reçoit plus de données. On a perdu le contact"" samedi vers 00h36 GMT (01h36 heure de Paris), a déclaré Philippe Gaudon, chef du projet Rosetta au CNES (Centre national d'études spatiales) à Toulouse (sud de la France)."
412,C2,"Le terme de géohistoire, défini par Fernand Braudel lorsqu'il choisit la Méditerranée comme objet de sa thèse en 1949, a été repris dans les années 1980 par des géographes qui ont utilisé leurs outils récents de pensée des territoires pour réexaminer non seulement les espaces historiquement révolus, mais simultanément considérer les ""régions du temps"", les périodes, comme des objets formalisables."
413,C2,"Autour d'elles, sous elles, coulait un grand ruissellement, les seaux d'eau chaude promenés et vidés d'un trait, les robinets d'eau froide ouverts, pissant de haut, les éclaboussements des battoirs, les égouttures des linges rincés, les mares où elles pataugeaient s'en allant par petits ruisseaux sur les dalles en pente ; et, au milieu des cris, des coups cadencés, du bruit murmurant de pluie, de cette clameur d'orage s'étouffant sous le plafond mouillé, la machine à vapeur, à droite, toute blanche d'une rosée fine, haletait et ronflait sans relâche, avec la trépidation dansante de son volant qui semblait régler l'énormité du tapage."
414,B2,"Or, aujourd'hui, ces appareils commencent à peine à arriver en fin de vie. Beaucoup d'entreprises ont donc attendu ce moment pour se préparer réellement à les traiter."""
415,B2,"Créatrice d'emplois, la filière permet aussi de rééquilibrer une balance commerciale souvent désavantageuse, tout en diversifiant les activités locales."
417,B2,"Seules, les grandes familles font usage du nom de leur appartenance patronymique."
423,A1,Mets la bougie dans le pot.
430,A1,J'ai des cours de méchanique et d'informatique.
431,A1,"Je veux dire, vraiment triste."
432,B2,"Les grandes villes proposent depuis longtemps des moyens de transport, mais ces derniers ont aussi leurs inconvénients."
434,A1,J'habite à New York.
435,A1,Vous êtes marié(e) ?
439,A1,"Le premier s'appelle Thomas, il a quatorze ans"
443,B2,"Au milieu des chasseurs, il débrouilla des pistes et suivit tout le long du jour les bêtes égarées ou blessées."
450,B2,"L'espace parcouru, celui des campagnes et des petites bourgades, possède finalement sa cohérence propre et, surtout, s'avère beaucoup plus marquant que l'arrivée à Paris."
455,A1,Je ne parle pas bien français.
457,B2,Il a également la possibilité de verser des indemnités kilométriques à ceux qui utilisent leur véhicule personnel pour se rendre au travail.
463,A1,"Pas le casser, quoi."
470,A1,"Moi, je suis français!"
471,A1,"Chaque matin, je prends mon petit déjeuner à 8 heures."
474,C2,"Un homme qui n'avait point été baptisé, un bon anabaptiste, nommé Jacques, vit la manière cruelle et ignominieuse dont on traitait ainsi un de ses frères, un être à deux pieds sans plumes, qui avait une âme."
476,B2,"Les gens présents ne peuvent pas la rater, encore moins les téléspectateurs des diverses chaînes présentes."
482,A1,Où je peux acheter un billet de train
492,A1,"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne."
499,B2,Vient le tour de sa soeur aînée plongée dans le 39e épisode d'une énième série américaine sur son smartphone.
502,A1,Tu ne trouves pas ça difficile ?
504,C2,Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer.
505,B2,"""Nous devons nous préparer à de nouvelles mutations du coronavirus et ne plus dépendre uniquement de l'UE pour la production de vaccins de deuxième génération"", a-t-il ajouté."
517,A1,Qu'as-tu mangé ?
519,B2,"Au final, dans le désert, une boisson chaude se révèle rafraîchissante !"
526,C2,"Du fait de la progression démographique et du développement des classes moyennes dans le monde, les systèmes éducatifs vont devoir former, d'ici à 2050, autant d'étudiants que durant toute l'histoire de l'humanité réunie car d'ici là, ""l'infosphère"" continuera son expansion vertigineuse ; la masse de connaissances double déjà tous les deux ans."
531,C2,"Dans la plupart des cas, ils désignent moins les cours et les enseignants que l'espace d'une vie ponctuée par les conquêtes progressives d'une liberté nichée dans les interstices de l'organisation scolaire : le temps des amours et des amitiés, celui des premières fois, avec la ronde des mini-bandes, des codes cachés et des fous rires."
534,C2,"Ces deux luttes sont liées, elles déconstruisent les rapports de domination, d'exploitation et de conquête au nom de l'Homme, dont la lettre capitale ne dissimule plus la posture prédatrice qu'il a tant incarnée."
541,A1,Je suis médecin.
542,A1,Je suis née aux Pays-Bas
544,A1,Je m'appelle Hugo et j'ai seize ans.
546,A1,Bonne idée.
548,B2,"En cas d'égalité, la vice-présidente Kamala Harris dispose d'une voix pour départager le vote."
553,C2,"Ce qui est à moi, ces quelques milliers de mortiférés qui tournent en rond dans la calebasse d'une île et ce qui est à moi aussi, l'archipel arqué comme le désir inquiet de se nier, on dirait une anxiété maternelle pour protéger la ténuité plus délicate qui sépare l'une de l'autre Amérique ; et ses flancs qui sécrètent pour l'Europe la bonne liqueur d'un Gulf Stream, et l'un des deux versants d'incandescence entre quoi l'Equateur funambule vers l'Afrique. Et mon île non-clôture, sa claire audace debout à l'arrière de cette polynésie, devant elle, la Guadeloupe fendue en deux de sa raie dorsale et de même misère que nous, Haïti où la négritude se mit debout pour la première fois et dit qu'elle croyait à son humanité et la comique petite queue de la Floride où d'un nègre s'achève la strangulation, et l'Afrique gigantesquement chenillant jusqu'au pied hispanique de l'Europe, sa nudité où la Mort fauche à larges andains."
555,B2,"Les sociétés modernes demandent beaucoup aux jeunes ; elles exigent qu'ils soient libres et sérieux, autonomes et prévoyants, originaux et conformes."
561,A1,Comment les reconnaître?
564,B2,"Les véhicules seront autonomes, plus besoin de chauffeurs, les opérations chirurgicales seront robotisées, les mines seront exploitées par des robots."
566,A1,"Le soir, je suis rentré vraiment fatigué mais heureux."
572,B2,La fête est arrivée au 19e siècle aux États-Unis et au Canada grâce aux nombreux émigrants venus d'Irlande et d'Écosse
574,B2,Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été
577,B2,"C'est devenu un rituel, désormais en vigueur dans de nombreuses familles, encore qu'en France le phénomène portable n'ait pas remporté auprès des adolescents le même succès que dans les pays scandinaves."
583,A1,Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro
584,B2,"Les bateaux étaient serrés les uns contre les autres, et s'ils n'avaient pas été équipés de défenses, ni le leur ni ceux des voisins ne seraient restés intacts."
587,B2,L'interdiction de la cigarette électronique serait désastreuse pour ces entreprises.
589,A1,Je répare votre voiture.
591,A1,Ta soeur est venue hier nous rendre visite.
594,A1,Le premier part à sept heures vingt cinq et le deuxième part à neuf heures et demie
599,B2,"""Les femmes sont en revanche surreprésentées en danse (62% de tous les pratiquants) et encore davantage en gymnastique (79%)"", note l'Insee."
602,A1,"David, lui, va à l'école le mercredi matin."
603,A1,J'attends ta réponse
604,C2,"D'autres fois, lassé moi-même de mon silence, je me laissais aller à quelques plaisanteries, et mon esprit, mis en mouvement, m'entraînait audelà de toute mesure."
606,A1,"Oui, ça va, merci."
608,A1,"Parfait, alors un plat du jour, s'il vous plaît."
612,C2,"Ashton lui lançait en notes graves des provocations homicides, Lucie poussait sa plainte aiguë, Arthur modulait à l'écart des sons moyens, et la basse-taille du ministre ronflait comme un orgue, tandis que les voix de femmes, répétant ses paroles, reprenaient en choeur, délicieusement."
622,A1,Miam ! Tu dois avoir hâte de la revoir !
628,C2,"D'autres auteurs ont exploité ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif, sorti à l'automne 2004."
635,A1,Il fait toujours chaud
641,A1,Pourquoi as-tu quitté Limoges ?
646,B2,"Sur les blogs, ça les a rendu fous."
647,A1,Quel âge ont-ils ?
662,A1,Tu vas à l'université ?
670,C2,"Et se précipitant sur un livre de messe relié en velours violet, monté d'or, et d'où, dans sa hâte, elle laissait s'échapper de ces images, bordées d'un bandeau de dentelle de papier jaunissante, qui marquent les pages des fêtes, ma tante, tout en avalant ses gouttes commençait à lire au plus vite les textes sacrés dont l'intelligence lui était légèrement obscurcie par l'incertitude de savoir si, prise aussi longtemps après l'eau de Vichy, la pepsine serait encore capable de la rattraper et de la faire descendre."
675,A1,Il est danois.
678,C2,"En quittant chaque étape, mes enfants dessinaient le lieu ou une personne qu'ils y avaient rencontrée."
679,A1,il appelle un docteur !
680,C2,"L' ""acte gratuit"" est donc une notion philosophiquement problématique : la volonté de prouver sa liberté par un acte supposé sans mobile constitue, par elle-même, un mobile"
681,B2,"Autrement dit, avoir une ""vraie"" vie sociale satisfaisante conduirait à passer moins de temps sur les réseaux sociaux."
686,A1,C'est très difficile.
696,A1,"Salut, qu'est-ce que tu fais là ?"
697,C2,"Et les mèches de ses cheveux roux crespelés par la nature, mais collés par la brillantine, étaient largement traitées comme elles sont dans la sculpture grecque qu'étudiait sans cesse le peintre de Mantoue, et qui, si dans la création elle ne figure que l'homme, sait du moins tirer de ses simples formes des richesses si variées et comme empruntées à toute la nature vivante, qu'une chevelure, par l'enroulement lisse et les becs aigus de ses boucles, ou dans la superposition du triple et fleurissant diadème de ses tresses, a l'air à la fois d'un paquet d'algues, d'une nichée de colombes, d'un bandeau de jacinthes et d'une torsade de serpents."
700,A1,Il me reste une place.
701,B2,"Bref, pour le corps enseignant, les filles réussissent grâce à leurs talents de ""bûcheuses"", tandis que les garçons échouent par paresse plutôt que par manque de dons."
704,B2,"Tout d'abord, en externalisant la chaîne de production, nous diminuerons les coûts d'investissement pour la production et les frais de stockage des produits."
706,C2,"Et Kant ajoute pour préciser : ""(.) si la loi morale n'était pas d'abord clairement conçue dans notre raison, nous ne nous croirions jamais autorisés à admettre une chose telle que la liberté (.)"
714,A1,Je te donne ma réponse demain
715,A1,Pouvez-vous m'aidez ?
724,B2,"Si vous aviez cherché ces actes convenablement, vous les auriez trouvés du premier coup."
729,C2,"D'autres éditeurs exploitent le créneau, et Internet regorge de sites intéressants qui permettent une approche moins scolaire, certes, mais tellement plus amusante, des mathématiques"
730,A1,Je n'en ai aucune idée.
733,A1,"Et aujourd'hui, je suis artiste."
737,B2,"Dans 97 % des collèges, l'utilisation du portable est interdite."
739,A1,La cuisine est la pièce préférée de ma maison.
745,B2,"Près de 100 squelettes complets d'animaux ont été découverts jusqu'ici dans une zone relativement petite de 100 m², à l'ouest du Grand Temple."
746,A1,Je suis blanc ou noir
751,C2,"De ce poste élevé elle participait avec entrain à la conversation des fidèles et s'égayait de leurs ""fumisteries"", mais depuis l'accident qui était arrivé à sa mâchoire, elle avait renoncé à prendre la peine de pouffer effectivement et se livrait à la place à une mimique conventionnelle qui signifiait sans fatigue ni risques pour elle, qu'elle riait aux larmes."
756,B2,"L'ex-président de la République, Win Myint, déjà inculpé pour ne pas avoir respecté des restrictions liées au coronavirus, est désormais accusé d'avoir enfreint la Constitution, a indiqué à l'AFP l'avocat Khin Maung Zaw."
761,A1,Vous vous levez à quelle heure ?
768,A1,Ma soeur habite également dans la même ville que nous.
772,C2,"Rappelant que les propos du Premier ministre tenus lors du Congrès sur la révision constitutionnelle relative à la parité portaient sur les modes de scrutin de manière générale, tout en insistant particulièrement sur les élections législatives, M. Guy Cabanel, rapporteur pour le Sénat, a regretté que le texte adopté par l'Assemblée nationale ne démente ces propos en procédant à une manipulation du mode de scrutin municipal."
794,C2,"J'avais obtenu, par un travail assez opiniâtre, au milieu d'une vie très dissipée, des succès qui m'avaient distingué de mes compagnons d'étude, et qui avaient fait concevoir à mon père sur moi des espérances probablement fort exagérées."
796,C2,"Comme Schleiermacher, Hegel a senti assez vite qu'il y a dans la nature humaine un besoin de connaissances divines1 auquel se lient d'ailleurs des exigences morales; la religion ne tombe pas du ciel sur n'importe quel astre"
809,A1,"Ce soir, nous mangeons du poisson et des pommes de terre au dîner"
814,B2,"Dans l'avion qui le ramenait d'Irak, lundi matin 8 mars, le pape François a commenté sa visite intense et pleine de gestes et de rencontres symboliques de trois jours au cours d'une conférence de presse."
821,C2,"Brigitte Munier Il appartient à l'homme de ne point se laisser intimider ou séduire par la puissance des robots au point de perdre le sens de la spécificité des compétences purement humaines : l'illogisme apparent propre à l'émotivité, à la sensibilité et à l'imagination symbolique rend ces facultés inimitables par des machines, même programmées pour simuler l'empathie."
825,B2,"Le chef de la majorité au Sénat Chuck Schumer a affirmé mardi compter sur ""suffisamment"" de voix (51) pour approuver ce projet de loi d'ici la fin de semaine."
827,B2,"Faute d'y avoir réfléchi, car la recherche sur les conséquences sociales du vieillissement reste limitée."
828,B2,"Ces bactéries, avec lesquelles nous vivons en symbiose, sont nos amies : nous leur apportons à manger ; en contrepartie, elles s'occupent de prédigérer les aliments pour nous les rendre assimilables."
833,A1,Il ne vient pas à la fête ce soir
835,B2,"D'un côté, elle génère de nouveaux besoins alimentant toujours plus le narcissisme, auxquels adolescents et jeunes adultes sont si sensibles (comme le besoin de popularité) et, de l'autre côté, elle provoque nombre de frustrations."
836,B2,"Les entreprises qui en vendent ont été littéralement dévalisées, avec notamment explosion des commandes par téléphone, et en ligne."
841,A1,C'est facile !
842,B2,"Comme son nom l'indique, le fromage AOP a une appellation d'origine protégée."
845,A1,On doit écouter le professeur et étudier
846,A1,Il a les cheveux raides.
849,B2,"Une étude récente montre cependant que les cyclistes sont d'abord demandeurs de plus de sécurité et de stationnements vélo, aux abords des gares en particulier."
851,B2,Aussitôt que le registre du commerce aura reçu le dossier de modification.
870,A1,"Miaou, je veux rentrer à la maison, chez Jules."
876,A1,Il y avait une fois une grande forêt.
889,A1,Je suis débutante.
892,A1,Je suis en vacances !
893,B2,"Les broches également, très pratiques aussi, en les accumulant, et les petits boléros par-dessus"
908,A1,Où est la salle 33 ?
909,A1,Je vais prendre le steak frites.
910,A1,J'ai déjà mangé.
913,B2,"À bord de leur vaisseau, Rosco et le capitaine Jim ont pour mission de sauver l'univers d'un terroriste imprudemment décongelé"
914,B2,"Pour la plupart des observateurs, cela devait paraître une façon extrêmement imprudente et dangereuse de gérer une entreprise."
925,A1,"Et bonne humeur pour finir, avec la charade habituelle du soir"
928,A1,Je suis architecte. Et toi ?
929,A1,Peux-tu répéter cela?
936,B2,"Figurez-vous tous ces pauvres gens, entassés dans un logement insalubre, sous un plafond qui menace de s'effondrer à tout moment"
944,B2,Ces analyses sont effectuées par la recherche d'anticorps ou par dépistage direct de l'agent pathogène.
949,B2,Ses premiers travaux importants sont réalisés au service du duc Ludovic Sforza à Milan.
951,B2,"Ces pratiques de bon sens ne nous épargneront pas une analyse plus approfondie des raisons pour lesquelles les usagers sont si fortement attachés à Internet, aux réseaux sociaux et au smartphone et pourquoi ils ont une telle crainte de ne plus pouvoir les utiliser."
952,B2,"Dernièrement, le ministre de l'éducation nationale a souhaité durcir l'interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n'est pas suffisamment appliquée parce qu'aucune sanction n'est prévue."
955,A1,Elle est au chômage en ce moment
956,A1,"Je suis allé une fois en thalassothérapie, il y a deux ans."
958,B2,"Pour beaucoup de jeunes, l'établissement scolaire permet de gagner sa liberté et son autonomie."
975,A1,C'est une question de point de vue.
980,B2,Mais les pays les plus défavorisés voient leur situation alimentaire se dégrader inexorablement.
986,C2,"Mais utiliser le mot esclave revient à considérer qu'ils sont autre chose que des machines. Leurs capacités de déduction et de connexion sont certes développées, leur force mécanique est puissante, leur précision micrométrique mais les robots restent des machines au service de l'homme."
