id,difficulty,sentence
458,A2,"Aujourd'hui, elle fait encore partie des plus exposées"
464,A2,Tu es heureuse que les spectateurs aient applaudi.
467,A2,N'oubliez pas votre appareil photo !
469,A2,"Et puis, dans la famille, personne chantait"
473,A2,Il demande de l'aide à une alouette.
475,A2,"La nuit tombait, il faisait un vent froid."
478,A2,"Elle aime les contes et les histoires fantastiques, et de temps en temps, je me dis qu'elle sort tout droit d'une de ces histoires-là."
481,A2,"Je te le suggère, je te le propose, je te le recommande."
483,A2,"Après le prélèvement, le laboratoire effectue des tests pour déterminer le groupe sanguin et le facteur rhésus."
487,A2,Tu as aimé ce livre de poésies ?
491,A2,"Je vais leur demander de se calmer, pour que vous puissiez profiter de votre repas dans le calme."
493,A2,Elle ne leur a pas révélé son secret.
495,A2,"Ou alors, on joue sur mon ordinateur."
500,A2,Plus personne ne sautait sur le canapé depuis longtemps.
501,A2,"Je ne vois nul signe d'épidémie, répondit le marquis"
506,A2,Comment le prince est-il vêtu ?
509,A2,"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête."
516,A2,Il est un boulot long et difficile.
522,A2,"Nous nous voyons assez souvent, elle vient même parfois à la maison et nous faisons nos devoirs ensemble."
524,A2,Je vous vends des livres.
527,A2,s'écriait la marquise.
536,A2,Mon père est mort ici.
537,A2,C'est le quartier des beaux magasins et des produits de grandes marques
540,A2,"Elle s'est cassé les deux jambes, elle a beaucoup souffert."
543,A2,J'ai trouvé un stage qui me plaît beaucoup.
547,A2,"Non, bien sûr ; mais ce que je veux dire c'est que nos préoccupations ont changé."
549,A2,D'autant qu'il n'y a pas vraiment d'effort pour que tout cela soit crédible.
550,A2,"D'habitude, il n'avait jamais peur."
551,A2,J'étais fier !
552,A2,Elle descendit l'escalier à toute vitesse et courut le rencontrer.
556,A2,Rosa : Ça n'a pas beaucoup changé ici depuis 40 ans !
558,A2,"Aujourd'hui, je vais te présenter ma famille"
563,A2,J'ouvre la porte et le chien court à l'extérieur.
569,A2,"A cause de la crise, l'entreprise doit licencier une centaine de salariés."
572,A2,La fête est arrivée au 19e siècle aux États-Unis et au Canada grâce aux nombreux émigrants venus d'Irlande et d'Écosse
573,A2,"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus"
575,A2,L'histoire se passe en Asie.
578,A2,"Excusez-moi, ça fait 30 minutes qu'on attend notre table."
581,A2,"Mais devenir l'ami d'une fille super, c'est difficile !"
585,A2,Elle ne doit pas dégoûter les élèves.
590,A2,"OK, pas de problème."
593,A2,"Il fait trop chaud, j'ouvre la fenêtre."
597,A2,La journée est longue pour David qui attend le samedi toute la semaine
598,A2,La plupart des spectateurs ont apprécié la pièce de théâtre.
601,A2,"Alors, je les ai remises et j'ai vu son sourire."
609,A2,On ne peut pas vivre comme ça.
614,A2,Il est impératif de tenir votre chien en laisse lorsque vous le promenez.
615,A2,"Aujourd'hui, Madagascar, c'est 700 personnes qui sortent des écoles en informatique."
616,A2,"Tout d'un coup, il proteste contre un monsieur bleu."
621,A2,C'est l'école qui doit le trouver.
623,A2,La cuisine est la pièce préférée de ma maison
625,A2,Je crains que la table ne soit pas encore disponible.
626,A2,Je suis vraiment désolé : j'ai oublié d'acheter de la viande en rentrant !
627,A2,Mon chapeau s'est envolé quand je suis monté sur le voilier.
629,A2,Elle a dansé toute la nuit.
630,A2,"Ça oui, j'attends les vacances d'été avec impatience !"
633,A2,Donne-moi la serviette !
639,A2,Le choix de l'hôtel dépend bien sûr de votre budget mais aussi de vos envies.
642,A2,"À droite, l'artiste peint un arbre touffu, tout à la fois prometteur et inquiétant."
643,A2,Je garde la forme en aidant de temps en temps à la maison ou dans le jardin.
656,A2,Mon frère Patrice est plus jeune que moi.
658,A2,Les maths font-elles peur aux femmes ?
661,A2,J'ai vraiment dû beaucoup insister pour être choisi !
663,A2,"Secourir : ce verbe est synonyme d'aider une personne qui est en danger, porter secours à quelqu'un."
665,A2,La bibliothèque était déjà fermée quand j'y suis allé hier après-midi.
672,A2,N'oublie pas de venir avec des chaussures de sport.
673,A2,"J'y vais le lundi, le mardi et le mercredi"
674,A2,Tu peux me prêter ton stylos s'il-te-plaît ?
690,A2,La police a ordonné de ne pas poser de questions personnelles.
691,A2,"Au moment de payer, notre petit garçon est toujours volontaire"
693,A2,Je suis bien contente que tu aies apprécié cette histoire.
695,A2,Le canal a été construit il y a seulement quatre-vingts six ans.
698,A2,Il vient à la cérémonie ce soir
699,A2,Comment le Berger arrive-t-il à sortir de la grotte ?
702,A2,Vivre à la campagne a beaucoup d'avantages
705,A2,Nous vous souhaitons un bon voyage.
711,A2,"En général, c'est à ce moment-là que je me rends compte que je suis en retard"
717,A2,"Il signifie ""avoir le courage de faire quelque chose""."
718,A2,J'ai un garage pour ma voiture et pour mon vélo
719,A2,"Ce n'est pas l'idéal, mais on n'a pas le choix"
720,A2,"Au protectionnisme culturel, ensuite"
738,A2,"Loin du gouvernement, il parvient à incarner une alternative de droite au gaullisme"
743,A2,"Bonsoir, madame, en quoi puis-je vous aider ?"
747,A2,"Aussitôt qu'elle eut perdu son chien, elle le chercha désespérément"
749,A2,"Finalement, que réalise le berger une fois qu'il a repris ses esprits ?"
753,A2,Combien le voyageur doit-il payer pour dormir chez le pêcheur ?
754,A2,"Hier soir, j'ai travaillé jusqu'à minuit."
760,A2,"Oui, avec ce grand soleil, je commence à réfléchir à des projets de vacances."
764,A2,Il y a des régions où les enfants ne vont pas à l'école le mercredi
767,A2,"Oui, mais qui fait cela ?"
779,A2,Son bureau est entre la bibliothèque et la salle de dessin.
790,A2,"La semaine, je me lève à six heures du matin et mon mari à huit heures."
791,A2,Le jour ressemblait à la nuit.
792,A2,"On a envie de savoir, de comprendre et de se détendre."
795,A2,Il pleurait à chaque fois.
798,A2,La pudeur vous défend de voir ma lame nue ?
800,A2,"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit."
801,A2,"Il trouve qu'il fait trop chaud, alors il s'est ennuyé"
807,A2,Elle est plus âgée que moi.
810,A2,Et quel aspect hétéroclite que le sien !
812,A2,"Pourtant, évoquer cette histoire reste très douloureux pour moi"
813,A2,Qu'est-ce que ça veut dire ?
816,A2,"Non, ne mange pas votre goûté dans la classe !"
817,A2,Mes voisins auraient recueilli un beau petit chat abandonné.
823,A2,Tanguy ne veut pas aller à la mer le mois prochain
829,A2,Jules fait beaucoup de bruit derrière la porte.
830,A2,Ça fait un moment que je n'ai pas appelé mes parents pour prendre de leurs nouvelles.
838,A2,Savez-vous pourquoi ?
839,A2,C'est une très bonne adresse pour les amateurs de viande et de charcuterie.
840,A2,Quoi !
847,A2,Je l'ai revu depuis noyé de carburant
850,A2,La multiplication des nouvelles technologies va-t-elle nous faire perdre la tête?
855,A2,Peu de gratitude anime Kassák.
857,A2,J'ai un rendez-vous urgent à l 'extérieur.
858,A2,On a de la chance !
860,A2,J'ai quatre pattes
862,A2,"Nous passons notre temps à établir, désétablir."
864,A2,"J'aime aussi beaucoup sa voix, une voix un peu grave, qu'on n'attend pas chez une fille aussi frêle"
868,A2,Cette douceur contraste avec les températures sibériennes d'il y a une semaine.
869,A2,C'est un problème et on ne sait pas ce qu'on va faire
874,A2,"Il y a un monstre, je l'ai vu se cacher sous mon lit !"
875,A2,"Les enfants, vous vous tairez lorsque je signalerai de le faire."
878,A2,"la préposition ""malgré"" signifie contre la volonté de quelqu'un."
882,A2,"Le beau monsieur dit : ""Allons donc, berger, ce n'est pas vrai, ce que vous dites là."
887,A2,Nous passons de bons moments à jouer ensemble dans le jardin.
896,A2,"Ensuite, nous sortions pour notre promenade au parc, où nous retrouvions quelques amis"
899,A2,Pourquoi tu n'as pas acheté cette antiquité ?
905,A2,C'était un saint homme.
906,A2,C'était pour moi une question de vie ou de mort.
911,A2,On a commencé il y a un mois pour nous préparer petit à petit à la transition
917,A2,Il y a une espèce de frénésie dans l'information
920,A2,Mais ce n'est pas le cas
921,A2,Son allure donne l'impression que personne ne peut la séduire.
924,A2,"Pour l'unilingue, à tout signifiant correspond un seul signifié"
927,A2,C'est un endroit magnifique pour la baignade et l'escalade.
933,A2,"Ce sont des pères, point final."
935,A2,"""Quand j'ai appris la nouvelle, je me suis dit : 'On va s'entretuer'"", rapporte-t-elle au quotidien économique américain."
937,A2,Ce chien m'apporte beaucoup de bonheur.
946,A2,"Lundi, je retourne à l'école"
948,A2,"Le télévendeur travaille à temps plein, à temps partiel ou en complément d'une autre activité."
950,A2,"Hier, j'ai décidé de m'offrir une belle journée."
953,A2,Elle pouvait supporter tout cela.
960,A2,Tu envoyais un message à tes amis chaque soir avant de te coucher.
961,A2,C'est le cas par exemple des agriculteurs
966,A2,"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans."
968,A2,J'ai décidé de peindre les murs en jaune et d'y installer mon piano
970,A2,"Et vous avez la marionnette à fils, où le manipulateur est au-dessus et la marionnette a des fils reliés à l'animateur."
972,A2,Ce n'est pas la première fois qu'une catastrophe écologique se produit dans la région
973,A2,Est-ce qu'il y a du pain?
974,A2,"Il parut inquiet, il ne comprenait pas le mot quibus."
977,A2,Elle me demande ce que j'aimerais qu'il fasse plus tard.
981,A2,Je sortis quand j'eus pris mes clés
982,A2,Mais la musique m'a donné mal à la tête
983,A2,"En général, elle loue une maison à la campagne"
984,A2,Que se passe-t-il?
985,A2,Vous allez piloter ce fichu avion et m'amener en Amérique du Sud.
987,A2,Pourquoi le pacha est admiré de tous ?
990,A2,"Le paradis, je vous le dis."
995,A2,Or les républicains veulent aussi accomplir des choses.
998,A2,"Pour se déplacer, il y a des bus, des vélos et un métro."
999,A2,"La Hongrie, la Slovaquie et la Pologne font appel à la Russie et la Chine."
1000,A2,"Il y a aussi quelques arbres fruitiers comme un cerisier, un pommier, un abricotier, . mais aussi des fraisiers : je me régale et je fais le plein de vitamines !"
1007,A2,lls la détestaient à cause de ce que sa mère avait fait.
1016,A2,"Noël approche, les enfants attendent ce moment avec impatience"
1018,A2,Qui propose un travail de serveur ?
1022,A2,"Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden"
1023,A2,Nous ne privons plus du bonheur de manger
1024,A2,Il a cherché ses amis dans la foule de suporters.
1025,A2,Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé
1028,A2,"Ce week-end, nous signerons le contrat sauf s'il y a un contretemps."
1030,A2,"Autrefois, on allumait toutes les bougies de la maison le soir de la Chandeleur."
1032,A2,"Je suis désolé, j'ai oublié mes devoirs à la maison."
1037,A2,Il fait encore nuit.
1040,A2,"J'enverrai la facture, il la paiera aussitôt qu'il la recevra"
1043,A2,C'est la seule façon de s'en sortir !
1047,A2,Le chat s'est alors accroché au coussin et Simon ne l'a pas vu.
1049,A2,"Ou alors, c'est moi qui ai plus de mal à le supporter parce que j'ai envie de savoir ce qui arrive à Sarah."
1051,A2,"En général, je me lève assez tôt tous les matins"
1065,A2,Il fait froid en hiver.
1067,A2,"Vous avez la marionnette à gaine, celle que nous faisons surtout ici, qui est manipulée avec les mains."
1068,A2,"Au commencement du souper, elle était rêveuse."
1071,A2,"Le cheveu, naturellement, il a une très bonne capacité d'absorption, il a de très bonnes capacités de rétention et il a une bonne flottabilité"
1082,A2,La cloche de l'école sonne à quatorze heures pour que tout le monde retourne en classe jusqu'à dix-sept heures.
1083,A2,La dématérialisation fait désormais partie du quotidien !
1086,A2,À midi il prend un sandwich dans un café
1089,A2,La meilleure amie d'un garçon est sa mère.
1090,A2,"J'ai grandi dans une famille binationale, mon père est français et ma mère vient du Royaume Uni, donc je suis parfaitement bilingue"
1091,A2,J'ai visité une maison dont j'ai oublié l'adresse
1095,A2,Le temps est loin où les explorateurs découvraient des îles désertes avec des plages de sable fin.
1099,A2,Je suis secrétaire et je m'occupe de mes deux enfants quand ils rentrent de l'école.
1107,A2,"Mais surtout, ce sourire-là était spécialement pour moi."
1108,A2,La cuisine est classique et à base de produits régionaux.
1109,A2,Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours.
1117,A2,C'était super !
1119,A2,J'écoute des dialogues tous les jours.
1124,A2,"En regardant ma mère, j'ai appris à cuisiner."
1125,A2,"C'est le fils mon père, mais ce n'est pas mon frère."
1127,A2,De quelle personne le voyageur est-il le favori ?
1128,A2,"On le fête avec ses amis ou sa famille, et on souhaite ""bonne année !"" à ses proches."
1135,A2,"Pas de diplôme, pas de boulot."
1138,A2,"Je ne sais pas où est sa mère, ni même si elle vit encore, je ne sais pas si elle a des frères et des soeurs quelque part, je ne sais pas ce que fait son père."
1139,A2,Personne n'a échoué: ils ont tous réussi.
1142,A2,Qui c'est qui t'as nourri ?
1151,A2,Il était fatigué et il ne savait plus où aller.
1167,A2,Je regrette que Cécile ne voulait pas venir hier soir.
1178,A2,"C'est mon restaurant préféré, j'y suis allé deux fois cette semaine!"
1185,A2,Le 8 mai est la fête de la Victoire.
1187,A2,L'histoire de ce livre est incroyable
1194,A2,Vous faites de l'exercice physique
1196,A2,Je vais parler au serveur et voir si on peut déplacer les tables.
1198,A2,Ils deviennent dangereux pour notre économie.
1199,A2,Son succès a généré beaucoup de réactions négatives.
1,B1,Vous ne pouvez pas savoir le plaisir que j'ai de recevoir cette bonne nouvelle.
8,B1,"Mais la racine du mal est bel est bien cette façon de penser tendant vers un manichéisme néfaste, néfaste car le respect des opinions divergentes et le débat s'estompent au profit de l'extrémisme et l'uniformisme de la pensée"
16,B1,"En tombant, certains arbres ont écrasé des structures, ont écrasé d'autres arbres"
22,B1,La sixième Semaine pour l'emploi en leur faveur entend les combattre.
28,B1,Vous sortîtes précipitamment après que vous eûtes mis votre chapeau
29,B1,Tu retireras ton chapeau en feutre et tes gants en cuire et tu t'assiéras en silence.
37,B1,Les journalistes ont voulu savoir s'ils pouvaient le rencontrer.
45,B1,"On peut voir entre autres le bréviaire manuscrit conservé à la bibliothèque du grand séminaire de Malines, ainsi que plusieurs incunables de Cambrai."
46,B1,Ils se laissèrent glisser par terre et partirent en trombe vers le salon.
55,B1,Cette évolution de la surcharge pondérale et de l'obésité est constatée dans toutes les grandes régions du globe.
57,B1,Les plans de rigueur se succèdent dans de nombreux pays pour remédier aux déficits mais le revers de la médaille est que cela entraîne un mécontentement général et que les gens votent de plus en plus pour des partis nationalistes proposant la sortie de l'euro.
66,B1,Les canards eurent là une belle occasion de pondre des oeufs de toute couleur.
67,B1,"Non, j'ai terminé mes études en juin dernier."
68,B1,Nous entamions un nouveau programme de notre cursus.
73,B1,Elle a passé la nuit à réviser le rapport annuel.
82,B1,Nous somment conscients de la difficulté de l'expédition et nous en assumons les risques.
83,B1,L'Esprit de l'hiver décide de punir les arbres qui n'ont pas apporter de l'aide à l'oiseau.
84,B1,Elle a posé son sac sur une chaise.
86,B1,J'ai eu une réunion hier où nous avons pris plusieurs décisions avec notre partenaire brésilien
89,B1,Cet homme n'hésitera pas à accueillir les hôtes qui se présentent chez lui au risque de perdre la vie.
98,B1,"Ils viennent dans une salle de spectacle, avec des rideaux qui s'ouvrent, avec des couleurs, avec une mise en scène, avec des bulles, avec des flammes, avec de la fumée."
106,B1,D'autres sont plus critiques.
116,B1,Cette question a notamment été posée en France de façon emblématique lors de la privatisation de THOMSON Multimédia au milieu des années 1990
117,B1,"Bon, peut-être qu'il y en pas encore beaucoup mais de plus en plus."
118,B1,"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine."
121,B1,"En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade."
122,B1,"L'après-midi je me promène aux Tuileries, paradis de verdure au coeur de la capitale"
132,B1,"Les terrains conflictuels existent, mais l'aventure est d'autant plus exaltante."
135,B1,Les resultats experimentaux montrent que le micro beton est defini par un état caracteristique qui separe deux types de comportement rheologique.
149,B1,"On n'est pas très fiers parce que de temps en temps, quand elles se bagarrent, on[ne] veut pas dire que Patricia se bagarre avec Agnès ou avec Valérie ou Michèle ou Aude ! [Elle rit]"
151,B1,Au rythme d'une vingtaine de terrains de football par minute.
163,B1,Le maréchal-ferrant et le cocher ont dû se reconvertir.
167,B1,S'impliqueront-ils dans la vie sociale du collège?
168,B1,"À Paris, première ville touristique au monde, sur le parvis de Notre-Darne, la file des touristes s'allonge alors qu'un seul guichet est ouvert"
171,B1,"Une nuit enfin, quelque dieu lui permit un rêve."
178,B1,"En 1999, il m'a proposé de devenir chef du service politique."
183,B1,"C'était ce que je chantais le matin sous la douche, c'était l'objet de mes prières, ma priorité numéro un."
187,B1,"De cette première rencontre, j'ai un souvenir aussi confus que précis."
189,B1,"Ce qui est le pur subjectif tend à s'objectiver, devient langage, temple, fête, individu."
192,B1,Le public découvre dans un magazine hebdomadaire les premières nouvelles mettant en scène le fameux détective et son fidèle Watson
197,B1,"Par exemple, choisissez deux pantalons, deux robes, mais allez-y franco sur le haut"
201,B1,On voit grandir une masse d'ouvrier spécialisé de l'informatique qui alimentent les tuyaux de l'information rapide.
207,B1,"La Loire à vélo, c'est près de 900 kilomètres de pistes aménagées le long du fleuve."
219,B1,Le tableau de Fontana qui était dans les collections du musée depuis 2003 vient d'être dérobée.
227,B1,N'essayez pas de tout comprendre dès la première écoute.
231,B1,Je voyais de loin la petite masse sombre du rocher entourée d'un halo aveuglant par la lumière et la poussière de mer.
234,B1,Il a précisé qu'il partait en vacances dès demain.
235,B1,"Au programme, organisez un blind test et un karaoké en classe avec les artistes francophones des années 1960 et d'aujourd'hui."
239,B1,J'errais sans cesse devant la porte d'Ellénore.
240,B1,"Selon effectivement mon état d'esprit du moment, avec l'expérience, le fil du temps, je sais ce que je veux en tous cas"
241,B1,"On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune"
247,B1,Il faut planter deux arbres pour piéger les rejets liés au voyage aller-retour en avion d'une personne entre Milan et New York.
250,B1,"Nous ne voulions pas d'ascenseur, mais un voisin qui loue son appartement en voulait absolument un pour attirer les touristes."
251,B1,"Depuis quelques années, on enregistre une augmentation de la violence chez les jeunes."
264,B1,Sa société a déjà embauché deux développeurs chez Sayna l'an dernier et compte bien renouveler l'expérience en 2019
266,B1,"""Je n'ai pas l'habitude d'être en compagnie de quelqu'un vingt-quatre heures sur vingt-quatre et sept jours sur sept"", reconnaît cette chroniqueuse culinaire."
267,B1,"Un bienfaiteur est une personne qui apporte son aide, généralement en donnant de l'argent."
275,B1,Les divorces grimpent en flèche.
278,B1,"Il n'y a point d'effet sans cause, répondit modestement Candide, tout est enchaîné nécessairement et arrangé pour le mieux."
279,B1,Un cinéaste qui adapte un livre au cinéma doit forcément prendre de la distance par rapport au livre
284,B1,"Ce dimache, c'était la fête des Mères en France."
285,B1,Les petits jouèrent et dansèrent autour du feu de joie.
291,B1,"Il s'agissait avant tout de franciser la République, de faire en sorte que tous les petits Français parlent français."
293,B1,Ne vont-ils pas accaparer les affaires publiques à leur avantage ?
294,B1,"Ils ont mis en évidence le rôle clé de l'alimentation dans l'apparition ou le traitement de certains troubles mentaux comme la dépression, les troubles anxieux, la schizophrénie et même l'autisme."
297,B1,"Sur la côte, ils chassent les phoques et les baleines tandis qu'à l'intérieur des terres, ils y élèvent le renne."
304,B1,"Ces choses faites, il revint tristement à son château de Grianta."
309,B1,"A quelle saison, les serpents vont dormir dans la terre ?"
311,B1,Ils auraient vu plusieurs versions de ce film.
318,B1,"Entre les deux, il y a le gris : c'est un mélange de blanc et de noir."
328,B1,Le héros meurt à la fin du film.
329,B1,Il n'y a pas beaucoup de différences dans le développement du langage entre un enfant bilingue et un enfant monolingue.
340,B1,"Le dernier soir, ils avaient réservé une table dans un des restaurants les plus romantiques de Florence, histoire de finir leur séjour en beauté"
343,B1,"En Ethiopie, la date de la Fête des mères n'est ni fixe, ni déterminée à l'avance : elle dépend directement de la fin de la période des pluies !"
351,B1,Son utopie était celle d'un monde sans argent.
353,B1,Cela lui paraissait invraisemblable.
357,B1,C'est bien simple: je n'apprécie pas l'idée de tuer de pauvres animaux innocents.
