sentence,A1
"J'ai identifié trois peurs fondamentales du robot: la crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du robot qui va voler le travail de l'homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.",0
Mais d'autres pourront préférer L'Assassin des échecs ou Les Annales du Kangourou (Editions du Kangourou) .,0
Vous ferez de la randonnée ?,0
il y a plus de 50 pays francophones !,1
Ils ont déjà l'obligation de les ramener chez eux.,0
"Un autre : Oui, on leur a bien donné des noms",0
Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,0
"Merci, bon voyage.",1
"Ce geste, presque insensible, lui fit courir, de la tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la chair nue avec ses mains.",0
Il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés.,0
"Avec sa nouvelle compagne de quatorze ans sa cadette, il dit ""vivre une renaissance"".",0
"Entre ceux qui ne jurent que par l'introduction de l'informatique dans l'enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une grande école d'informatique, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",0
"Parmi les acteurs du commerce équitable, il faut distinguer les organismes ""labellisateurs"", qui certifient des filières d'importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec les producteurs et s'autocontrôlent, faute de mieux.",0
Elle peut donc ouvrir d'autres réflexions et finalement devenir très enrichissante.,0
"Ce paysan pleurait et prétendait qu'on lui avait tout pris ; Fabrice lui donna un écu, et il trouva de l'avoine.",0
"La première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise ""potentielle"" de l'urbanisation, maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s'est doté.",0
Le petit chat a plu à mes parents,0
Se prémunir contre l'altération des données et avoir la certitude qu'elles n'ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur celles-ci.,0
"[.] Nous sommes des joueurs/joués3"".",0
"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",0
Vous avez dit la seule chose intelligente !,0
Mon ami ne répond pas au téléphone.,1
Mon frère Patrice est plus jeune que moi,0
"Ils sont en vacances, il n'y a que nous sur cette partie de l'île.",0
"Quand il y a des nuages avec de la neige qui tombe, c'est qu'il va neiger et qu'il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",0
"Un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment, desservant une succession de bureaux.",0
"Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d'emploi grâce à notre système d'alerte personnalisé.",0
"Ça nous a donc coûté de l'argent, s'énerve-t-elle.",0
Vous vous appelez comment ?,1
"Fabrice, à peine âgé de seize ans, représentait fort bien le chef de la maison.",0
"Oui, je suis à Paris depuis vingt jours à peine.",1
"L'apprentissage du code et plus largement d'une culture générale du numérique à l'école est une mesure réclamée depuis longtemps par l'Académie des Sciences, soutenue par des acteurs qui comptent dans le secteur numérique, comme la Cnil ou le Conseil national du numérique, et qui figure même dans une proposition de loi de la députée UMP Laure de la Raudière.",0
Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?,0
"Quand je rentre, je demande à mes parents si je peux t'appeler pour avoir de tes nouvelles.",0
"L'important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c'est que chacun des créditeurs, des créanciers soit traité de la même façon.",0
"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à ""mettre fin au coup d'Etat"".",0
Le directeur aurait donné de nouvelles consignes au personnel.,0
Vos regards m'observent.,0
De nombreux auteurs ont spéculé sur les différents aspects de la personnalité de Léonard.,0
"Les conséquences sur la nature sont gravissimes, notamment sur les océans qui contiendraient selon la revue américaine Science plus de 110 millions de tonnes de déchets plastiques.",0
"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte. ""Il y a toujours un événement déclencheur"", constate la directrice de Changer tout.",0
"Mon père, bien qu'il observât strictement les convenances extérieures, se permettait assez fréquemment des propos légers sur les liaisons d'amour : il les regardait comme des amusements, sinon permis, du moins excusables, et considérait le mariage seul sous un rapport sérieux.",0
Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,0
Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l'avaient acheté.,0
L'émigration galicienne sous-tend l'évolution du peuplement et l'explique en grande partie.,0
Ces tanières se fondent dans la nature pour être quasiment invisibles.,0
Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,0
Il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes.,0
"Nos prophéties disent que tant qu'il y aura des bisons sauvages, nous survivrons.",0
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête",0
"Réaffirmant que le Sénat ne s'était livré à aucun chantage contrairement aux allégations du rapporteur pour l'Assemblée nationale, il a, au contraire, affirmé que la position de la Haute Assemblée relevait d'une conception cohérente et constante de la société.",0
"Quelques coups de battoir partaient encore, espacés, au milieu des rires adoucis, des conversations qui s'empâtaient dans un bruit glouton de mâchoires ; tandis que la machine à vapeur, allant son train, sans repos ni trêve, semblait hausser la voix, vibrante, ronflante, emplissant l'immense salle. Mais pas une des femmes ne l'entendait ; c'était comme la respiration même du lavoir, une haleine ardente amassant sous les poutres du plafond l'éternelle buée qui flottait. La chaleur devenait intolérable ; des rais de soleil entraient à gauche, par les hautes fenêtres, allumant les vapeurs fumantes de nappes opalisées, d'un gris rose et d'un gris bleu très tendre ; et, comme des plaintes s'élevaient, le garçon Charles allait d'une fenêtre à l'autre, tirait des stores de grosse toile ; ensuite, il passa de l'autre côté, du côté de l'ombre, et ouvrit des vasistas.",0
Que du bonheur !,0
On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,0
"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a ""supplanté le calcul mental y compris pour des opérations basiques, et que l'utilisation d'un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont ont été mémorisées en amont et c'est grâce à cette assimilation de connaissances basiques que l'apprenant peut utiliser la calculatrice"".",0
"Tous, sauf un petit oiseau.",1
Sa santé s'est dégradée à cause d'une infection sévère et ses jours sont comptés.,0
La chose me vient d'être certifiée.,0
La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,0
J'ai le plaisir de vous annoncer que votre demande d'inscription à l'université de Strasbourg en première année de master Sciences et Société a été acceptée,0
"Une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon un sondage publié vendredi",0
"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",0
"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",0
"La cinquantaine est un bel âge: on gagne en profondeur et en bienveillance, constate Philippe Wattier.",0
Les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les élèves des deux sexes.,0
"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",0
"Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",1
Elle ne ressemble à aucune des filles que je connais.,0
"Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !",0
"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",0
"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course poursuite menée par Armel depuis le 23 novembre dernier, quarante-sept jours de haute tension qui se terminent aujourd'hui",0
Pourquoi on ne peut pas entrer dans la chambre ?,1
À très bientôt.,0
"C'était cette comparaison, tacitement et inlassablement répétée dans une même toile, qui y introduisait cette puissante et multiforme unité, cause, parfois non clairement aperçue par eux, de l'enthousiasme qu'excitait chez certains amateurs la peinture d'Elstir.",0
Soyons sérieux,0
Bienheureux le quidam que voilà débarrassé de cette peur originelle d'échouer et de faire faux,0
Je prends le train.,1
"C'est dans sa lettre à Schuller, extraite de sa Correspondance, que Spinoza dénonce l'illusion du libre arbitre",0
Je prends mon petit-déjeuner dans la cuisine.,1
Il nous arrive de procéder de cette façon de temps en temps.,0
"Alors qu'au cours du Paléolithique, la diffusion avait fractionné l'écoumène en petits groupes, la tendance depuis la fin de la dernière glaciation est à l'épaississement des relations dans l'Ancien Monde, par augmentation des effectifs et par tissage d'interconnexions.",0
"Or, la croissance démographique concerne surtout les pays en voie de développement, qui connaissent aujourd'hui des problèmes de sous-alimentation et de mauvaise alimentation.",0
Je suis dans ma chambre.,1
Une indéniable sérénité se reflétait sur ses traits.,0
Le jour de l'An correspond au 1 janvier.,1
"Étant féru d'art, Yves Saint Laurent a constitué, au fil des années, une importante collection d'objets précieux et de peintures qui ont inspiré certaines de ses créations.",0
Ils suivaient une sente creuse que dominait des deux côtés un talus de six pieds de haut.,0
Je ne comprends pas.,1
"Mais, à partir de ce moment, elle n'écouta plus ; et le choeur des conviés, la scène d'Ashton et de son valet, le grand duo en ré majeur, tout passa pour elle dans l'éloignement, comme si les instruments fussent devenus moins sonores et les personnages plus reculés ; elle se rappelait les parties de cartes chez le pharmacien, et la promenade chez la nourrice, les lectures sous la tonnelle, les tête-à-tête au coin du feu, tout ce pauvre amour si calme et si long, si discret, si tendre, et qu'elle avait oublié cependant.",0
"Et nos esprits qui reçoivent les instructions de ces organes, diversement impressionnés, comprennent, analysent et jugent comme si chacun de nous appartenait à une autre race.",0
"Trop concrète peut-être après le temps du rêve. Aucun terminus ne semble, pour l'écrivain, pouvoir justifier d'avoir enduré tant de souffrances, ni inciter à rompre avec le temps du vagabondage.",0
"""Nous explorons la meilleure voie légale, probablement via le système interaméricain, en invoquant la déclaration des droits de l'homme de 1948"".",0
"À ce compte-là, les cours de langue au collège pourraient être profitablement remplacés par des séances de mémorisation de l'annuaire",0
Je préfère un autre bijou.,1
Il n'a pas de veste,1
Un autre inconvénient à cette interdiction est le risque de priver les adolescents d'un apprentissage sur l'utilisation raisonnée d'Internet et des réseaux sociaux.,0
Le massacre est commémoré sur le drapeau de la ville de Chicago par sa première étoile rouge,0
Je ne trouve pas la rue du marché.,1
"Fruit d'une pensée élaborée depuis la Renaissance, l'individualisme est un projet de société dans lequel chacun devrait trouver les meilleures conditions de sa réalisation et de son épanouissement.",0
"Cette année, ce n'est pas moins de 12 millions d'élèves qui ont repris le chemin de l'école.",0
"Sébastien Granet et Hélène Lavoie, la cheffe, nous ont accueillis malgré un autobus de visiteurs qui ripaillaient",0
Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.,0
"C'est pourquoi nous demandons aujourd'hui que le président de la République tienne sa parole et soumette, 'sans filtre', les propositions de la Convention au référendum, au parlement ou à application réglementaire directe.",0
Je ne trouve pas mes clés de maison.,1
"Les industriels polluent l'eau, l'air et les sols avec leurs produits toxiques.",0
Il met son plus beau costume et son chapeau,0
"D'abord, la dernière élection présidentielle, où le vote pour le Front national fut autant le fait des jeunes électeurs que de leurs aînés.",0
"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soient enseignée à l'école (24 % à partir du primaire, 41 % à partir du collège).",0
Les parents de banlieue se sont organisés pour les devoirs des enfants.,0
Vous attendîtes la surprise que vos parents vous eurent promise,0
"Le duo n'a pas grand chose en commun, mis à part ses positions relativement conservatrices, qui lui vaut les foudres des progressistes.",0
"Or, sur les quelque 6 000 langues qui existent actuellement dans le monde, la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000.",0
"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.",0
A qui appartient le chien qui aboie nuit et jour ?,0
Elle sait parler anglais et espagnol,1
"Ce phénomène, c'est l'apparition d'une génération inédite.",0
"Après l'ambiance de luxe, ici c'est comme un tranquille village",0
"Des chiffres tirés d'une des rares enquêtes sur le sujet, réalisée en 2000 (publiée en 2001) par l'Institut de recherche sur l'économie de l'éducation auprès des parents de 2 500 enfants de l'académie.",0
Monet peignit ce portrait emplit de sensualité et lourd de symbolisme.,0
Elle pense à lui.,1
"Oui, l'ouragan a touché terre la nuit dernière dans le nord du Nicaragua, il s'est ensuite étendu à plusieurs pays d'Amérique centrale",0
Je viens d'emménager dans ma nouvelle maison,0
"De toute façon, chacun sait que, pour choisir son logement idéal, cela peut prendre plusieurs mois.",0
"Parmi les habitants de la région, il y a ceux qui veulent revenir et ceux qui ne veulent pas",0
Nous apportons des arguments experimentaux et théoriques en faveur d'un mecanisme intramoleculaire.,0
"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",0
"Dans les campagnes, c'est différent !",0
Faites des groupes de trois personnes.,1
"La salle craquait sous les bravos ; on recommença la strette entière ; les amoureux parlaient des fleurs de leur tombe, de serments, d'exil, de fatalité, d'espérances, et quand ils poussèrent l'adieu final, Emma jeta un cri aigu, qui se confondit avec la vibration des derniers accords.",0
Le Président a promis qu'il tiendrait toutes ses promesses.,0
Qu'allez-vous faire demain ?,0
Où se trouve le supermarché?,1
"Il donna cette feuille à l'alouette, et lui ordonna de la laisser tomber sur la tête du dragon.",0
Je vous conseille d'écouter deux fois cette histoire avant de passer à la suite.,0
"Après 22 ans de vie parisienne, cet ancien designer-graphiste a décidé de se consacrer à sa passion de toujours : la cuisine",0
Je ne veux plus le voir parce qu'on s'est disputés la dernière fois que l'on s'est vus.,0
"En France, si je parle anglais à mon fils, Mathias, il me répond plutôt en français.",0
Nous les mangeons ensemble le samedi soir.,1
"Ça veut dire ""Sapeurs-Pompiers""",0
Les sexagénaires sont jeunes.,0
"Et le vieux chef a toujours raison, car c'est le seul qui parle aux dieux.",0
J'ai cherché à te joindre il y a une heure.,0
Cela nécessite des équipements et suffisamment de place.,0
J'ai soif.,1
Léonard de Vinci a eu beaucoup d'amis qui sont reconnus dans leurs domaines respectifs ou ont eu une influence importante sur l'Histoire.,0
"L'incarnation nous met en présence de l'immuable qui est par lui-même quelque chose de général; et cet immuable revêtant le caractère de l'individualité, ce caractère même devient quelque chose d'universel.",0
Vous avez une réduction ?,1
"Je n'aime pas la pluie, surtout pendant les vacances.",1
Je serai ravi de t'accueillir.,0
Le petit chat plaît à mes parents.,0
"Comme l'enfant séparé de sa mère trouve dans son ""doudou"" un moyen de se rassurer, le smartphone, objet transitionnel, ne permettrait-il pas de lutter contre les frustrations et affects négatifs provoqués par le monde social ?",0
Twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins.,0
"C'est, de manière plus générale et de façon indiscutable, le meilleur joueur du monde.",0
"Cette ""fin des grands récits"" est largement celle où les lieux étaient classés par étapes - la succession des modes de production marxistes en représentait la version la plus formalisée, mais parler de sous-développement ou de décollage s'inscrivait dans le même paradigme évolutionniste.",0
"Ici, le travail est un châtiment divin, imposé par Dieu aux Hommes pour les punir de leur désobéissance",0
"Même sans se considérer forcément comme un ""cyberaddict"", tout un chacun peut s'inspirer de ces techniques pour y puiser des conseils.",0
Ils sont pas chers,1
"Je sais qu'elle vit seule avec son père, mais je ne lui ai jamais demandé pourquoi.",0
"Ces deux étapes se caractérisent pas la difficulté éprouvée par le couple devant les choix qu'impose l'éducation de leurs enfants (école, religion, langue.).",0
"Ainsi l'inaltérable patience de robots instituteurs en Corée du Nord et au Japon convient elle aux enfants autistes, mais nul ne sait comment évolueront les autres enfants qui n'apprennent pas à composer avec les humeurs d'un professeur humain.",0
La communauté scientifique apprécie peu la présence de femmes.,0
Les anciennes générations sont beaucoup plus conservatrices que les jeunes générations.,0
Etes-vous à la maison ?,1
Quand les rencontrer?,0
"Entre ceux qui ne jurent que par l'introduction de l'informatique comme un enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une prépa à l'Ecole 42, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",0
Un message d'urgence des pompiers vient de tomber :,0
J'étais donc lycéen et pompier à la fois.,0
Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,0
Je ne crois pas que les enfants vont réussir.,0
C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,0
"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",1
"Les Cyanobactéries se distinguent des Bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.",0
"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe siècle: et l'on peut, il me semble, attribuer au grand naturaliste Réaumur le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes.",0
"Même à l'université, les études sont trop focalisées et seuls 5 % des étudiants qui ont un doctorat occuperont une fonction académique.",0
"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",0
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",0
Je suis vraiment plus dans le flow,0
L'élastique s'est distendu.,0
Cet auteur tellement lu pour sa Grammaire impertinente propose aussi. des Jeux pour lire vite (Retz),0
Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,0
"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",0
"De nombreux indicateurs lui permettent de suivre l'évolution de la situation, et au fur et à mesure que l'épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation.",0
Alice a un chien.,1
Pierre qui roule n'amasse pas mousse,0
Elle n'était pas là.,1
Des réponses aux questions que l'on se pose sur soi et sur les autres.,0
"Cependant, la responsable du service nous a confirmé que les conditions d'accueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies par notre ministère",0
L'ensemble des jeunes ?,0
"Il avait pris sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu'il voyait beaucoup avant de vivre à Valencienne",0
"Ensuite, on ira au cinéma du quartier qui organise tous les ans des séances spéciales",0
Les résultats de deux études sur les métriques utilisées par les entreprises pour évaluer leur capital intellectuel,0
La ville entière s'est illuminée autour du marché de Noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le froid de l'hiver,0
"Si vous êtes intéressé, appelez-moi.",1
"La retraite, les quinquas d'aujourd'hui l'imaginent active, forcément active.",0
Mon père a eu une mutation pour venir travailler à Paris.,1
"On peut aussi aller au théâtre, dans les musées ou au cinéma",1
"Je suis encore au bureau, je vais rentrer plus tard.",1
On va manger dans le jardin.,1
"Il aurait vidé de même une barrique entière, lui semblait-il ; il aurait mangé un boeuf, étranglé un lion.",0
"Une feuille prise d'un arbre du paradis, sur laquelle est écrite un mot en lettres d'or par le Père éternel.",0
"Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.",0
Les réseaux sociaux sont l'objet d'un étonnant paradoxe.,0
"C'est là un enrichissement culturel, car l'enfant peut alors s'ouvrir, à travers cette langue différente, à des traits typologiques présents dans beaucoup d'autres langues, sur lesquels le bilinguisme breton français offre un accès indirect",0
Vous avez bien étudié et vous avez réussi facilement.,0
Le journal n'a pas expliqué comment ce prisonnier s'est évadé.,0
"Il ne la connaît pas bien, alors il demande à ses autres collègues",1
L'anecdote est révélatrice.,0
"C'est l'année où les centaines de milliers de baby-boomers, nés lors du pic des naissances de 1946, arriveront à la retraite.",0
"Pour y aller, descendez à la station musée du Louvre, prenez à droite et continuez tout droit",1
